city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Raichur,Karnataka,Karnataka,2020,12,63.78455445544554,sparse,40.7,141.94118320610687,sparse,35.2,7.550000000000001,sparse,47.6,21.21671388101983,sparse,47.4,28.673983050847458,sparse,47.6,20.886129943502826,sparse,47.6,1.0941807909604522,sparse,47.6,7.420991501416431,sparse,47.4,5.164745762711865,sparse,47.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.28581920903954805,sparse,47.6,1.0912994350282486,sparse,47.6,57.55991525423729,sparse,47.6,22.97598870056497,sparse,47.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,1,47.10081881533102,good,77.2,148.99740795287187,good,91.3,15.896118721461187,good,88.3,21.82126331811263,good,88.3,37.49220364741641,good,88.4,16.79981845688351,good,88.8,0.9997026604068857,good,85.9,14.75907012195122,good,88.2,6.339216589861751,good,87.5,0.80984496124031,good,69.4,,insufficient,0.0,7.37645885286783,good,53.9,2.9190689655172415,sparse,39.0,,insufficient,0.0,,insufficient,0.0,0.2881201848998459,good,87.2,1.1344067796610169,good,87.2,57.66963020030817,good,87.2,24.19544982698962,good,77.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,2,52.12770186335404,good,71.9,144.9690716612378,good,91.4,11.309978991596639,good,70.8,29.001745689655174,good,69.0,40.18461538461539,good,71.6,6.354353448275862,good,69.0,1.099621848739496,good,70.8,22.675987525987527,good,71.6,15.32556263269639,good,70.1,1.442731182795699,good,69.2,,insufficient,0.0,9.636774193548387,good,69.2,2.770258064516129,good,69.2,,insufficient,0.0,,insufficient,0.0,0.2865732758620689,good,69.0,1.1626939655172415,good,69.0,41.22605603448276,good,69.0,25.77612068965517,good,69.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,3,57.69995468277946,good,89.0,133.06118980169973,good,94.9,8.703394777265745,good,87.5,27.762902735562307,good,88.4,36.20406676783004,good,88.6,6.631359516616314,good,89.0,0.8919119878603945,good,88.6,24.542705167173253,good,88.4,19.720243161094224,good,88.4,0.2813981762917933,good,88.4,,insufficient,0.0,,insufficient,19.1,,insufficient,17.3,,insufficient,0.0,,insufficient,0.0,0.28977203647416416,good,88.4,1.2240881458966564,good,88.4,32.07689969604863,good,88.4,29.456854103343467,good,88.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,4,45.591432038834945,good,57.2,97.35742647058824,good,56.7,2.5123486682808713,good,57.4,25.826892778993436,good,63.5,27.849868708971552,good,63.5,6.807741228070174,good,63.3,0.5494967177242889,good,63.5,16.49934354485777,good,63.5,32.15647702407002,good,63.5,0.0,good,63.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.2917943107221007,good,63.5,1.2806345733041575,good,63.5,34.54851203501094,good,63.5,31.328993435448577,good,63.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,5,23.499805309734512,good,75.9,59.39418727915194,good,76.1,3.3447601476014763,good,72.8,18.973527336860673,good,76.2,21.800881834215165,good,76.2,5.652446043165468,good,74.7,0.23580246913580244,good,76.2,11.493121693121692,good,76.2,21.040670194003525,good,76.2,0.0,good,76.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.30199294532627863,good,76.2,1.3587477954144622,good,76.2,52.00400352733686,good,76.2,29.681746031746037,good,76.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,6,15.033416149068323,good,89.4,47.610623100303954,good,91.4,3.1026283048211507,good,89.3,14.934027355623101,good,91.4,17.86037993920973,good,91.4,5.482208588957055,good,90.6,0.15206484641638227,good,81.4,6.823404255319148,good,91.4,12.990258358662615,good,91.4,0.0,good,91.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.31762917933130697,good,91.4,1.454756838905775,good,91.4,62.7813981762918,good,91.4,26.673632218844986,good,91.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,7,10.307984084880635,good,50.7,34.39785984848485,good,71.0,5.700685920577618,good,74.5,15.877851985559566,good,74.5,21.548339350180502,good,74.5,5.566025641025641,good,73.4,0.2482352941176471,good,68.5,6.246787003610108,good,74.5,8.600433212996391,good,74.5,0.0,good,67.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.30738267148014436,good,74.5,1.3552346570397114,good,74.5,74.77003610108304,good,74.5,25.001877256317684,good,74.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,8,11.325065789473685,good,81.7,42.958640776699035,good,83.1,8.08635922330097,good,83.1,16.160825242718445,good,83.1,24.245258899676376,good,83.1,5.887799352750809,good,83.1,0.24405172413793103,good,62.4,6.653236245954694,good,83.1,8.083899676375404,good,83.1,0.4579065743944637,good,77.7,,insufficient,0.0,3.4581527531083482,good,75.7,0.9499113475177305,good,75.8,,insufficient,0.0,,insufficient,0.0,0.3046925566343042,good,83.1,1.3257281553398057,good,83.1,69.53121359223303,good,83.1,25.71398058252427,good,83.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Raichur,Karnataka,Karnataka,2021,9,11.854696048632219,good,91.4,43.794682779456195,good,91.9,9.807057057057056,good,92.5,17.285555555555558,good,92.5,27.09256756756757,good,92.5,6.146156156156156,good,92.5,0.2557272727272727,good,76.4,6.412927927927928,good,92.5,9.936456456456456,good,92.5,0.44271771771771773,good,92.5,,insufficient,0.0,3.5351951951951945,good,92.5,0.8904054054054054,good,92.5,,insufficient,0.0,,insufficient,0.0,0.30351351351351347,good,92.5,1.3086636636636637,good,92.5,74.37735735735735,good,92.5,25.02277777777778,good,92.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
