city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Sagar,Madhya Pradesh,Madhya Pradesh,2020,1,,insufficient,16.7,,insufficient,16.7,,insufficient,17.0,,insufficient,17.0,,insufficient,17.0,,insufficient,16.9,,insufficient,16.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,2,32.32556589147286,sparse,46.3,80.0155365474339,sparse,46.2,1.483464447806354,sparse,47.5,29.91878971255673,sparse,47.5,31.352783661119513,sparse,47.5,1.9535051546391753,sparse,48.8,0.8036135693215338,sparse,48.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,3,22.902380261248187,sparse,46.3,59.41155395683453,sparse,46.7,1.0558569500674764,sparse,49.8,16.89622132253711,sparse,49.8,17.93846153846154,sparse,49.8,1.8697840755735493,sparse,49.8,0.5539083557951483,sparse,49.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,4,25.284807302231236,sparse,34.2,56.218356997971604,sparse,34.2,1.0170422535211268,sparse,34.5,11.418289738430582,sparse,34.5,12.432877263581492,sparse,34.5,1.9922420634920632,sparse,35.0,0.5837375745526839,sparse,34.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,5,31.241630434782614,sparse,49.5,83.76283967391304,sparse,49.5,1.0216260162601625,sparse,49.6,12.32811653116531,sparse,49.6,13.339810298102982,sparse,49.6,3.0021349862258955,sparse,48.8,0.49078590785907866,sparse,49.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,6,18.727276785714285,sparse,46.7,50.314584569732936,sparse,46.8,1.0238135593220337,sparse,49.2,14.083187588152327,sparse,49.2,15.081227080394923,sparse,49.2,3.1039801699716714,sparse,49.0,0.4911299435028249,sparse,49.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,7,11.499926253687317,sparse,45.6,37.57544918998527,sparse,45.6,0.996938775510204,sparse,49.4,10.284585034013606,sparse,49.4,11.281469387755104,sparse,49.4,3.3053125,sparse,49.5,0.4360490463215259,sparse,49.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,8,7.78695885509839,sparse,37.6,,insufficient,19.2,,insufficient,21.3,7.73644844517185,sparse,41.1,,insufficient,21.3,3.0133770491803276,sparse,41.0,0.4808455284552846,sparse,41.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,9,26.249678832116786,sparse,47.6,,insufficient,7.6,,insufficient,0.0,10.678705035971223,sparse,48.3,,insufficient,0.0,3.17007215007215,sparse,48.1,0.5648994252873564,sparse,48.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,10,57.44816920943135,sparse,48.5,,insufficient,1.3,,insufficient,0.0,14.416798365122613,sparse,49.3,,insufficient,0.0,4.762724795640327,sparse,49.3,0.7483923705722072,sparse,49.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,11,69.8923570432357,sparse,49.8,,insufficient,0.4,,insufficient,0.0,21.373810848400556,sparse,49.9,,insufficient,0.0,4.78616991643454,sparse,49.9,0.6245277777777778,good,50.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2020,12,48.39685131195335,sparse,46.1,,insufficient,2.2,,insufficient,0.0,27.566594594594594,sparse,49.7,,insufficient,0.0,5.27088275862069,sparse,48.7,0.6306486486486486,sparse,49.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,1,36.73440054495913,sparse,49.3,,insufficient,0.7,,insufficient,0.0,15.14126530612245,sparse,49.4,,insufficient,0.0,5.807420689655172,sparse,48.7,0.37571428571428567,sparse,49.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,2,44.35598507462687,sparse,49.9,,insufficient,0.6,,insufficient,0.0,26.319597523219812,sparse,48.1,,insufficient,0.0,6.105371517027863,sparse,48.1,0.30080597014925375,sparse,49.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,3,62.79714535901926,sparse,38.4,,insufficient,2.6,,insufficient,0.0,19.11752631578947,sparse,38.3,,insufficient,0.0,7.681818181818182,sparse,38.4,0.31321678321678326,sparse,38.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,4,62.51037936267072,sparse,45.8,,insufficient,0.0,,insufficient,0.0,19.06710606060606,sparse,45.8,,insufficient,0.0,6.237309486780716,sparse,44.7,0.2926060606060606,sparse,45.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,5,29.46526170798898,sparse,48.8,,insufficient,5.4,,insufficient,0.0,19.117840440165065,sparse,48.9,,insufficient,0.0,7.099143302180685,sparse,43.1,0.3167857142857143,sparse,48.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,6,18.521966463414635,sparse,45.6,,insufficient,1.8,,insufficient,0.0,19.195731707317076,sparse,45.6,,insufficient,0.0,7.640137614678898,sparse,45.4,0.2844817073170732,sparse,45.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,7,13.289172610556347,sparse,47.1,,insufficient,4.2,,insufficient,0.0,19.192372159090908,sparse,47.3,,insufficient,0.0,8.321991404011461,sparse,46.9,0.29160511363636366,sparse,47.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Sagar,Madhya Pradesh,Madhya Pradesh,2021,8,15.486884057971016,sparse,46.4,,insufficient,2.7,,insufficient,0.0,19.604833574529668,sparse,46.4,,insufficient,0.0,7.684863221884497,sparse,44.2,0.2700434153400868,sparse,46.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
