city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Saharsa,Bihar,Bihar,2021,11,,insufficient,9.2,,insufficient,8.5,,insufficient,9.3,,insufficient,9.4,,insufficient,9.4,,insufficient,9.4,,insufficient,0.6,,insufficient,9.3,,insufficient,8.3,,insufficient,9.4,,insufficient,9.4,,insufficient,9.4,,insufficient,9.4,,insufficient,0.0,,insufficient,9.4,,insufficient,9.3,,insufficient,9.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,9.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2021,12,122.00310937500001,good,86.0,330.30409836065576,good,82.0,8.064248210023866,good,56.3,43.51800947867298,good,56.7,27.569932735426008,good,59.9,7.7076204819277105,good,89.2,,insufficient,7.9,3.685504201680672,sparse,32.0,45.316423135464234,good,88.3,1.3601144164759726,good,58.7,19.431510297482838,good,58.7,5.914770642201836,good,58.6,8.892224770642203,good,58.6,,insufficient,0.0,2.6681651376146793,good,58.6,0.263884892086331,sparse,37.4,229.66454545454545,sparse,37.0,,insufficient,4.3,,insufficient,3.8,,insufficient,2.7,0.0,good,91.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,1,141.24891774891776,good,93.1,357.22342064714945,good,87.2,4.148000000000001,good,93.4,87.19595204513399,good,95.3,48.3611706629055,good,95.3,2.5541641791044776,good,90.1,,insufficient,15.1,,insufficient,12.4,32.41537588652483,good,94.8,1.3096614950634695,good,95.3,12.892327221438645,good,95.3,1.5093088857545838,good,95.3,3.5594217207334276,good,95.3,,insufficient,0.0,0.6793079096045198,good,95.2,0.3656901408450704,good,95.4,222.26609308885756,good,95.3,80.30224113475178,good,94.8,,insufficient,12.5,50.097309859154926,good,95.4,0.0,good,95.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,2,151.78225806451613,good,87.6,295.99440619621345,good,86.5,5.5135103926097,good,64.4,92.74267573696144,good,65.6,53.277123595505614,good,66.2,2.973948635634029,good,92.7,,insufficient,4.2,12.865299999999998,good,59.5,60.27550561797753,good,92.7,1.250476947535771,good,93.6,11.248330683624802,good,93.6,1.0383226837060704,good,93.2,3.1467197452229296,good,93.5,,insufficient,0.0,0.8439456869009584,good,93.2,0.40857142857142864,good,63.5,200.9994366197183,good,63.4,,insufficient,12.1,,insufficient,11.0,,insufficient,12.8,0.0,good,94.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,3,123.90986111111111,good,87.1,359.2400464396285,good,86.8,3.77314121037464,good,93.3,111.58418670438473,good,95.0,61.26643564356436,good,95.0,2.9508119658119654,good,94.4,0.0,sparse,26.1,29.598315301391036,good,87.0,68.20710042432815,good,95.0,1.135827232796486,good,91.8,8.204992679355783,good,91.8,0.7735777126099708,good,91.7,2.1399265785609396,good,91.5,,insufficient,0.0,0.5233726067746687,good,91.3,0.4182268370607029,good,84.1,190.3565489566613,good,83.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.0,good,95.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,4,50.56096828046744,good,83.2,233.3956027164686,good,81.8,4.042896890343699,good,84.9,21.542175324675323,good,85.6,13.911980519480517,good,85.6,3.339334415584416,good,85.6,0.0,good,76.9,32.312301458670994,good,85.7,60.265064935064935,good,85.6,0.617978947368421,good,66.0,6.411136842105263,good,66.0,0.49983682983682987,good,59.6,1.601270588235294,good,59.0,,insufficient,0.0,0.4759810874704492,good,58.8,0.62646,good,69.4,178.24179999999998,good,69.4,,insufficient,20.7,,insufficient,20.7,,insufficient,20.7,0.0,good,86.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,5,39.06363218390805,good,58.5,172.42757009345794,good,57.5,3.000625,good,62.4,68.7863298969072,good,65.2,37.162081632653056,good,65.9,3.954835886214442,good,61.4,0.12098591549295773,sparse,28.6,35.09746835443038,good,63.7,,insufficient,2.4,0.6155430711610488,sparse,35.9,9.863408239700375,sparse,35.9,2.012172284644195,sparse,35.9,2.0166101694915257,sparse,31.7,,insufficient,0.0,0.9829661016949154,sparse,31.7,1.0988053097345134,good,60.8,189.57559734513273,good,60.8,74.46028282828281,good,66.5,24.6659797979798,good,66.5,42.9530303030303,good,66.5,0.0005030181086519115,good,66.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,6,36.50457023060797,good,66.2,204.5826359832636,good,66.4,5.928392434988179,good,58.8,36.65011764705882,good,59.0,23.02798143851508,good,59.9,3.0584280303030305,good,73.3,0.5097478991596638,sparse,33.1,22.215276595744687,sparse,32.6,25.084625322997415,good,53.8,0.41516363636363635,sparse,38.2,2.7496323529411764,sparse,37.8,0.22343511450381678,sparse,36.4,0.3252808988764045,sparse,37.1,,insufficient,0.0,,insufficient,20.1,1.2604588910133843,good,72.6,209.80235632183908,good,72.5,78.40557195571955,good,75.3,28.138579335793356,good,75.3,50.87269372693727,good,75.3,0.11014760147601477,good,75.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,7,67.52882129277567,good,70.7,167.39094285714287,sparse,47.0,7.682500000000001,good,80.1,35.47752873563219,good,70.2,21.214548672566373,good,75.9,2.5770252100840336,good,80.0,0.34242,good,67.2,28.669582504970176,good,67.6,19.60391156462585,good,79.0,0.16828767123287672,good,58.9,1.9887864077669903,good,55.4,0.3147448979591837,sparse,26.3,0.33455938697318005,sparse,35.1,,insufficient,0.0,,insufficient,3.0,1.127076923076923,good,87.4,196.20709230769228,good,87.4,75.62148710166919,good,88.6,30.474734446130498,good,88.6,51.575220030349016,good,88.6,0.07104704097116844,good,88.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Saharsa,Bihar,Bihar,2022,8,54.642797319932995,good,80.2,173.91165369649804,good,69.1,3.9192077464788726,good,76.3,10.578155172413794,good,78.0,8.029983136593591,good,79.7,2.21728125,good,86.0,0.5034308943089432,good,82.7,27.714108019639934,good,82.1,27.859893992932864,good,76.1,0.3435867768595041,good,81.3,1.6138372093023254,good,80.9,0.5631306306306306,good,59.7,0.5106329113924051,good,74.3,,insufficient,0.0,0.5388381742738589,sparse,32.4,1.0216420118343195,good,90.9,167.05683431952664,good,90.9,80.13212389380531,good,91.1,29.113893805309736,good,91.1,35.48834808259587,good,91.1,0.04441002949852507,good,91.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
