city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Sasaram,Bihar,Bihar,2021,7,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2021,8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2021,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2021,10,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2021,11,132.88,good,55.6,244.05061281337046,sparse,49.9,3.95384074941452,good,59.3,31.53156542056075,good,59.4,19.975957943925234,good,59.4,8.636539379474941,good,58.2,,insufficient,0.0,37.199205607476635,good,59.4,79.31700234192037,good,59.3,1.5213317757009348,good,59.4,5.433901869158879,good,59.4,1.7999532710280375,good,59.4,4.22731308411215,good,59.4,,insufficient,0.0,2.4851635514018686,good,59.4,0.30251781472684086,good,58.5,200.84466666666665,good,58.3,58.871048951048955,good,59.6,26.557016317016316,good,59.6,60.9388344988345,good,59.6,0.0,good,59.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2021,12,151.3367269984917,good,89.1,294.64685240963854,good,89.2,,insufficient,16.5,,insufficient,13.6,,insufficient,14.1,6.792647482014388,good,93.4,,insufficient,0.0,85.70937086092717,sparse,40.6,28.755533769063184,good,61.7,1.302086230876217,good,96.6,4.37817802503477,good,96.6,1.3464951321279555,good,96.6,3.302573018080668,good,96.6,,insufficient,0.0,1.5871905424200279,good,96.6,0.4282028985507247,good,92.7,205.66409288824383,good,92.6,62.4767541436464,good,97.3,25.10654696132597,good,97.3,48.59657458563536,good,97.3,0.0,good,97.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2022,1,147.04067055393588,good,92.2,230.36763503649638,good,92.1,8.658663793103448,good,93.5,55.18406609195402,good,93.5,36.38656609195403,good,93.5,4.2680649717514125,good,95.2,,insufficient,0.0,23.780911458333335,good,51.6,23.83731034482759,good,97.4,1.0146986301369862,good,98.1,2.561328767123288,good,98.1,0.6186438356164383,good,98.1,1.6064657534246576,good,98.1,,insufficient,0.0,0.6933561643835616,good,98.1,0.6017665615141956,good,85.2,196.71372239747635,good,85.2,73.18242176870748,good,98.8,16.02455782312925,good,98.8,59.778340136054425,good,98.8,0.0,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2022,2,98.99089075630252,good,88.5,184.19178333333335,good,89.3,10.027738853503184,good,93.5,47.56528443113773,good,99.4,32.95170914542729,good,99.3,10.51232876712329,good,86.9,,insufficient,0.0,25.08715625,good,95.2,54.58650986342944,good,98.1,0.7758682634730538,good,99.4,1.9894161676646704,good,99.4,0.4684281437125748,good,99.4,1.2863622754491018,good,99.4,,insufficient,0.0,0.5207634730538923,good,99.4,0.6387014925373135,good,99.7,191.74997014925376,good,99.7,60.13461997019375,good,99.9,19.714649776453054,good,99.9,84.12183308494784,good,99.9,0.0,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2022,3,87.09504437869822,good,90.9,186.68107828655835,good,91.0,6.297328571428573,good,94.1,59.27747545582047,good,95.8,36.5162412342216,good,95.8,24.3659020979021,good,96.1,,insufficient,10.5,25.29248210023866,good,56.3,83.47698140200286,good,94.0,0.6798189415041783,good,96.5,1.6645821727019499,good,96.5,0.4872841225626741,good,96.5,1.1393036211699163,good,96.5,,insufficient,0.0,0.4908774373259053,good,96.5,0.5960055865921788,good,96.2,193.7817597765363,good,96.2,41.917108938547486,good,96.2,31.98939828080229,good,93.8,90.82456582633053,good,96.0,0.0,good,97.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Sasaram,Bihar,Bihar,2022,4,81.61542239685659,good,70.7,215.2640562248996,good,69.2,5.023158756137479,good,84.9,53.82243506493506,good,85.6,32.59993506493506,good,85.6,25.540504885993485,good,85.3,1.0300651465798045,good,85.3,37.09144927536232,good,86.2,75.64185897435898,good,86.7,0.585867098865478,good,85.7,1.4559157212317666,good,85.7,0.4367585089141005,good,85.7,1.1233170731707316,good,85.4,,insufficient,0.0,0.4679902755267423,good,85.7,0.7682542372881356,good,81.9,205.98725423728814,good,81.9,35.30284578696343,good,87.4,29.78570747217806,good,87.4,66.76248012718601,good,87.4,0.0,good,87.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
