city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Shivamogga,Karnataka,Karnataka,2020,1,44.20408740359897,good,52.3,110.36734536082474,good,52.2,1.3530154639175258,good,52.2,7.58211055276382,good,53.5,8.843869346733667,good,53.5,6.423316582914574,good,53.5,0.7792211055276381,good,53.5,9.462311557788945,good,53.5,54.78520100502513,good,53.5,,insufficient,0.0,3.0001975308641975,good,54.4,,insufficient,0.0,,insufficient,0.0,0.9500246913580245,good,54.4,1.3593887530562347,good,55.0,194.49550122249389,good,55.0,61.544180929095354,good,55.0,24.283349633251838,good,55.0,301.8742317380353,good,53.4,0.0,good,55.0,930.9438630806847,good,55.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,2,51.58174946004319,good,66.5,92.38725701943844,good,66.5,8.111478439425051,good,70.0,38.77979466119097,good,70.0,43.12917864476387,good,70.0,2.6783264462809915,good,69.5,0.7636960985626282,good,70.0,51.88424180327869,good,70.1,60.863094262295085,good,70.1,,insufficient,0.0,2.999938524590164,good,70.1,,insufficient,0.0,,insufficient,0.0,0.9500409836065573,good,70.1,1.4638524590163933,good,70.1,191.27461065573772,good,70.1,57.376864754098364,good,70.1,25.172274590163934,good,70.1,293.4816216216216,good,69.1,0.0,good,70.1,930.7587909836066,good,70.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,3,33.85746341463415,sparse,27.6,109.16380710659901,sparse,26.5,3.2477076411960133,sparse,40.5,23.26076411960133,sparse,40.5,26.485282392026576,sparse,40.5,,insufficient,16.5,0.5845794392523365,sparse,43.1,32.55921052631579,sparse,40.9,72.22104918032787,sparse,41.0,,insufficient,0.0,3.0003225806451614,sparse,45.8,,insufficient,0.0,,insufficient,0.0,0.9499706744868035,sparse,45.8,1.564457478005865,sparse,45.8,213.39129032258063,sparse,45.8,55.39093841642228,sparse,45.8,27.58636363636364,sparse,45.8,331.9011436950147,sparse,45.8,0.0,sparse,45.8,930.7903519061584,sparse,45.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,4,,insufficient,18.5,,insufficient,0.0,2.1086255924170616,sparse,29.3,13.8639336492891,sparse,29.3,15.96777251184834,sparse,29.3,,insufficient,24.7,0.4651834862385321,sparse,30.3,23.94728971962617,sparse,29.7,53.13390350877192,sparse,31.7,,insufficient,0.0,3.0004453441295547,sparse,34.3,,insufficient,0.0,,insufficient,0.0,0.9499595141700404,sparse,34.3,1.746356275303644,sparse,34.3,230.3053846153846,sparse,34.3,64.66615384615385,sparse,34.3,28.39898785425101,sparse,34.3,415.62902834008094,sparse,34.3,0.00040485829959514174,sparse,34.3,930.9742105263158,sparse,34.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,5,,insufficient,4.7,,insufficient,2.3,,insufficient,9.9,,insufficient,9.8,,insufficient,9.8,,insufficient,9.9,,insufficient,10.9,,insufficient,9.8,,insufficient,9.9,,insufficient,0.0,,insufficient,15.1,,insufficient,0.0,,insufficient,0.0,,insufficient,15.1,,insufficient,15.1,,insufficient,15.1,,insufficient,15.1,,insufficient,15.1,,insufficient,14.8,,insufficient,15.1,,insufficient,15.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,6,12.419607250755288,sparse,46.0,19.009788519637464,sparse,46.0,5.115121951219512,good,51.2,17.339647696476966,good,51.2,20.799539295392954,good,51.2,2.523463414634146,good,56.9,0.38857142857142857,good,69.0,27.8595225464191,good,52.4,22.917276785714282,good,62.2,,insufficient,0.0,3.0005020080321283,good,69.2,,insufficient,0.0,,insufficient,0.0,0.9499799196787148,good,69.2,2.435582329317269,good,69.2,236.63845381526107,good,69.2,78.50357429718875,good,69.2,24.974196787148593,good,69.2,516.3751004016063,good,69.2,0.03036144578313253,good,69.2,931.3163052208836,good,69.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,7,9.363499999999998,sparse,34.9,14.539384615384614,sparse,34.9,3.1043726235741445,sparse,35.3,13.563041825095057,sparse,35.3,16.57242424242424,sparse,35.5,1.569305019305019,sparse,34.8,0.3932931726907631,sparse,33.5,22.249629629629627,sparse,36.3,16.90610576923077,sparse,28.0,,insufficient,0.0,2.9998447204968945,sparse,43.3,,insufficient,0.0,,insufficient,0.0,0.9499689440993788,sparse,43.3,2.179006211180124,sparse,43.3,246.78562111801241,sparse,43.3,80.37186335403726,sparse,43.3,24.772910216718266,sparse,43.4,525.4063777089783,sparse,43.4,0.05486068111455108,sparse,43.4,928.6073065015481,sparse,43.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,8,,insufficient,18.8,,insufficient,19.0,,insufficient,19.8,,insufficient,19.8,,insufficient,19.8,,insufficient,18.7,,insufficient,20.6,,insufficient,19.9,,insufficient,20.3,,insufficient,0.0,,insufficient,23.7,,insufficient,0.0,,insufficient,23.9,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,23.7,,insufficient,22.4,,insufficient,23.7,,insufficient,23.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,9,,insufficient,15.0,,insufficient,15.0,,insufficient,15.8,,insufficient,15.8,,insufficient,15.8,,insufficient,15.3,,insufficient,16.0,,insufficient,16.1,,insufficient,16.1,,insufficient,0.0,,insufficient,16.0,,insufficient,0.0,,insufficient,16.1,,insufficient,16.0,,insufficient,16.0,,insufficient,16.0,,insufficient,16.0,,insufficient,16.0,,insufficient,9.4,,insufficient,16.0,,insufficient,16.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Shivamogga,Karnataka,Karnataka,2020,10,23.038809523809523,good,79.0,47.703187183811124,good,79.7,5.29035335689046,good,76.1,23.93716049382716,good,76.2,29.22730158730159,good,76.2,7.313431952662722,good,68.1,0.6245637583892618,good,80.1,33.26667253521127,good,76.3,,insufficient,21.6,,insufficient,0.0,1.159047619047619,good,53.6,,insufficient,0.0,1.915843828715365,good,53.4,2.8175187969924806,good,53.6,1.6674018944519622,good,99.3,231.26487804878047,good,99.2,77.75631935047362,good,99.3,24.308511502029766,good,99.3,477.56546647230317,good,92.2,0.05166441136671177,good,99.3,929.4898376184033,good,99.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
