city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Siliguri,West Bengal,West Bengal,2018,2,147.20493554327808,good,80.8,216.35570902394105,good,80.8,19.736044362292052,good,80.5,36.07894639556377,good,80.5,55.90983394833949,good,80.7,4.575951940850278,good,80.5,0.7606286836935167,good,75.7,67.39371534195934,good,80.5,35.34037664783427,good,79.0,8.811863468634687,good,80.7,50.07680147058824,good,81.0,,insufficient,0.0,9.674309392265192,good,80.8,3.016427255985267,good,80.8,0.24676146788990827,good,81.1,155.44264705882352,good,81.0,73.66274401473295,good,80.8,20.55513812154696,good,80.8,142.10645756457563,good,80.7,0.0,good,81.1,1013.4327071823204,good,80.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,3,111.0556698240866,good,99.3,165.89129905277403,good,99.3,13.814070080862532,good,99.7,35.159488559892324,good,99.9,48.938721399730824,good,99.9,6.0378061911170935,good,99.9,0.798876560332871,good,96.9,52.11678812415655,good,99.6,48.46172739541161,good,99.6,6.658021534320323,good,99.9,43.525762483130904,good,99.6,,insufficient,0.0,5.492097902097902,good,96.1,2.1374628879892037,good,99.6,0.3725437415881561,good,99.9,121.41021534320325,good,99.9,68.25561238223419,good,99.9,23.561507402422613,good,99.9,169.5406901217862,good,99.3,0.021601615074024222,good,99.9,1009.9531628532974,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,4,52.75507735583685,good,98.8,88.91732770745429,good,98.8,7.016237762237762,good,99.3,28.571706293706296,good,99.3,35.59436363636364,good,99.3,5.522980295566502,good,56.4,0.7877202797202798,good,99.3,46.74965034965035,good,99.3,50.37545839210156,good,98.5,3.422909604519774,good,98.3,37.67072033898305,good,98.3,,insufficient,0.0,2.588519269776876,good,68.5,1.710183615819209,good,98.3,0.43097902097902097,good,99.3,99.84209790209789,good,99.3,71.45118881118881,good,99.3,24.952531468531465,good,99.3,194.25604195804198,good,99.3,0.020923076923076923,good,99.3,1008.760965034965,good,99.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,5,29.234540466392318,good,98.0,58.54998628257888,good,98.0,4.70586301369863,good,98.1,22.627246575342465,good,98.1,27.332342465753424,good,98.1,4.590865384615384,good,97.8,0.7823972602739727,good,98.1,37.24171232876712,good,98.1,42.667527322404375,good,98.4,3.042562962962963,good,90.7,33.73592867756315,good,90.5,,insufficient,0.0,,insufficient,19.2,2.056998514115899,good,90.5,0.42532608695652174,good,98.9,90.99133514986376,good,98.7,78.32449591280654,good,98.7,25.628433242506812,good,98.7,207.2536103542234,good,98.7,0.08362397820163488,good,98.7,1006.3027929155313,good,98.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,6,30.90932394366197,good,98.6,51.58206214689265,good,98.3,4.5160857142857145,good,97.2,19.1537,good,97.2,23.425135135135132,good,97.6,5.278504273504274,good,97.5,0.8487535014005602,good,99.2,16.729170243204575,good,97.1,27.99095639943741,good,98.8,2.7661985815602836,good,97.9,31.169284692417744,good,97.1,,insufficient,0.0,4.459413447782547,good,97.1,1.607739628040057,good,97.1,0.35087866108786614,good,99.6,108.02319327731092,good,99.2,84.25387955182073,good,99.2,26.80205882352941,good,99.2,204.75643758765779,good,99.0,0.22553695955369596,good,99.6,1000.7775910364145,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,7,18.049849108367628,good,98.0,36.471879286694104,good,98.0,5.0853488372093025,good,98.3,15.794726775956283,good,98.4,20.603727891156463,good,98.8,4.591041095890411,good,98.1,0.7211522633744855,good,98.0,9.885302197802197,good,97.8,13.579310344827586,good,97.4,2.7517527173913043,good,98.9,28.556648426812586,good,98.3,,insufficient,0.0,4.3903009575923395,good,98.3,2.5172093023255813,good,98.3,0.39802309782608697,good,98.9,80.86240109140519,good,98.5,86.88897680763984,good,98.5,26.732305593451567,good,98.5,163.36890934844195,good,94.9,0.26451086956521735,good,98.9,1000.1637653478855,good,98.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,8,17.261424501424504,good,94.4,36.67589743589743,good,94.4,4.829262411347518,good,94.8,16.815163120567373,good,94.8,21.26137640449438,good,95.7,4.884957020057306,good,93.8,0.5093053545586107,good,92.9,24.475263908701855,good,94.2,15.063971428571428,good,94.1,2.704115168539326,good,95.7,28.837044476327115,good,93.7,,insufficient,0.0,4.119583333333333,good,93.5,1.7406169296987084,good,93.7,0.36894662921348315,good,95.7,99.6207507082153,good,94.9,84.28110481586403,good,94.9,27.221430594900852,good,94.9,196.99450784593438,good,94.2,0.11685393258426964,good,95.7,1001.3220254957507,good,94.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,9,23.82100436681223,good,95.4,50.07861516034984,good,95.3,5.210655976676385,good,95.3,18.13123546511628,good,95.6,22.259358974358975,good,97.5,4.687043478260869,good,95.8,0.5734788937409026,good,95.4,15.926555232558139,good,95.6,16.791338345864663,good,92.4,2.5947646219686162,good,97.4,17.371808823529413,good,94.4,,insufficient,0.0,3.372132352941177,good,94.4,1.7596470588235293,good,94.4,0.26692745376955906,good,97.6,128.53884057971015,good,95.8,86.66078260869565,good,95.8,26.3171884057971,good,95.8,167.43336148648646,good,82.2,0.18637268847795166,good,97.6,1006.3780261248186,good,95.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,10,43.404816824966076,good,99.1,93.35169376693766,good,99.2,8.965033921302577,good,99.1,27.915913396481734,good,99.3,35.935242587601074,good,99.7,4.654005412719892,good,99.3,0.732853260869565,good,98.9,10.9014609929078,good,94.8,30.87932341001353,good,99.3,3.5496221322537114,good,99.6,12.206290760869566,good,98.9,,insufficient,0.0,3.8133469387755103,good,98.8,1.9347891156462587,good,98.8,0.2560699865410498,good,99.9,144.48854054054053,good,99.5,77.10856756756756,good,99.5,24.571283783783784,good,99.5,186.4247792706334,good,70.0,0.0031897711978465682,good,99.9,1012.1765675675674,good,99.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Siliguri,West Bengal,West Bengal,2018,11,86.37966433566433,good,99.3,168.16798601398602,good,99.3,22.712402234636873,good,99.4,37.99237430167598,good,99.4,60.055083798882684,good,99.4,9.07438202247191,good,98.9,0.7842209631728047,good,98.1,22.477615499254842,good,93.2,26.24227019498607,good,99.7,7.085972027972028,good,99.3,14.84514685314685,good,99.3,,insufficient,0.0,5.285378151260504,good,99.2,3.112727272727273,good,99.3,0.17846796657381614,good,99.7,189.73587743732588,good,99.7,76.7055369595537,good,99.6,21.51700557103064,good,99.7,164.93424791086352,good,99.7,0.0005571030640668524,good,99.7,1014.0814206128133,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
