city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Sonipat,Haryana,Haryana,2018,12,,insufficient,10.2,,insufficient,10.2,,insufficient,10.1,,insufficient,10.1,,insufficient,10.1,,insufficient,10.2,,insufficient,10.2,,insufficient,4.0,,insufficient,5.1,,insufficient,10.2,,insufficient,9.3,,insufficient,1.9,,insufficient,2.0,,insufficient,0.0,,insufficient,10.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,1,135.40238924050632,good,84.9,194.92349593495936,good,82.7,12.771891891891892,good,89.5,34.15983483483483,good,89.5,26.10301801801802,good,89.5,25.41334384858044,good,85.2,1.3448198198198198,good,89.5,59.169429429429435,good,89.5,41.44059674502713,good,74.3,5.5828046989721,good,91.5,3.2070138888888886,good,58.1,9.506618852459015,good,65.6,7.732049180327868,good,65.6,,insufficient,0.0,0.0,good,91.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,2,86.42629449838188,good,92.0,136.89021702838062,good,89.1,8.177336448598131,good,95.5,24.655155279503102,good,95.8,16.833416149068324,good,95.8,19.66274380165289,good,90.0,2.173619344773791,good,95.4,49.12551401869159,good,95.5,38.54551666666667,good,89.3,5.42,good,96.3,15.306321483771253,good,96.3,5.471501706484642,good,87.2,6.404556313993173,good,87.2,,insufficient,0.0,0.0,good,96.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,3,57.66810554803789,good,99.3,110.75795081967215,good,98.4,6.033024193548386,good,100.0,17.18413043478261,good,98.9,13.537043010752688,good,100.0,30.791374663072773,good,99.7,1.3755779569892475,good,100.0,68.39423337856174,good,99.1,53.70528378378378,good,99.5,1.943763440860215,good,100.0,7.462768817204301,good,100.0,2.165223880597015,good,99.1,2.9578363384188626,good,96.9,,insufficient,0.0,0.0,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,4,73.37021676300577,good,96.1,186.64584548104955,good,95.3,5.9648710601719195,good,96.9,20.76012949640288,good,96.5,13.666719197707735,good,96.9,36.952931785195936,good,95.7,0.6639428571428572,good,97.2,31.049298245614036,good,95.0,66.1472634643377,good,95.4,0.9169620253164558,good,98.8,6.916694796061885,good,98.8,1.5183088235294115,good,94.4,1.9534195402298848,good,96.7,,insufficient,0.0,0.0,good,98.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,5,87.12808011049724,good,97.3,194.2534084507042,good,95.4,5.399551020408163,good,98.8,17.798916666666667,good,96.8,9.586851063829787,good,94.8,35.34288828337875,good,98.7,0.9686838534599728,good,99.1,16.19133891213389,good,96.4,84.21420833333333,good,96.8,3.656602475928473,good,97.7,13.523569405099147,good,94.9,2.0245316804407714,good,97.6,2.7260979020979024,good,96.1,,insufficient,0.0,0.0,good,98.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,6,76.7954481792717,good,99.2,191.84751098096632,good,94.9,5.5184958217270195,good,99.7,13.904921985815601,good,97.9,8.722534818941504,good,99.7,35.17387726638773,good,99.6,1.1143472222222222,good,100.0,20.075816326530614,good,95.3,76.2050139275766,good,99.7,3.5734449093444907,good,99.6,3.423379888268157,good,99.4,1.8150845070422537,good,98.6,2.8393165969316594,good,99.6,,insufficient,0.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,7,50.73879483500718,good,93.7,139.20680981595092,good,87.6,4.178079096045198,good,95.2,11.780946327683615,good,95.2,6.140197740112995,good,95.2,28.009871977240397,good,94.5,0.5002564102564102,good,94.4,27.353801775147925,good,90.9,52.159386227544914,good,89.8,2.274132581100141,good,95.3,4.559084507042253,good,95.4,1.9872256097560974,good,88.2,2.6381430745814307,good,88.3,,insufficient,0.0,0.0,good,95.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,8,45.94120603015076,good,80.2,90.81598976109214,good,78.8,4.592306425041186,good,81.6,12.26998352553542,good,81.6,3.33728476821192,good,81.2,22.543754512635378,good,74.5,1.0640204429301534,good,78.9,16.57463333333333,good,80.6,56.85387715930903,good,70.0,2.0792659053833606,good,82.4,2.3466068515497556,good,82.4,2.365703275529865,good,69.8,3.3864932562620425,good,69.8,,insufficient,0.0,0.0,good,82.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Sonipat,Haryana,Haryana,2019,9,43.61360065466448,good,84.9,99.46052718286656,good,84.3,4.601050080775445,good,86.0,24.489919484702096,good,86.2,9.354532258064514,good,86.1,14.745480132450332,good,83.9,1.1906612903225806,good,86.1,15.359577235772356,good,85.4,17.492616179001722,good,80.7,3.002915309446254,good,85.3,1.9165635179153093,good,85.3,2.4935111876075733,good,80.7,3.4436144578313255,good,80.7,,insufficient,0.0,0.0,good,88.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
