city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Talcher,Odisha,Odisha,2017,12,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,5.0,,insufficient,0.0,,insufficient,4.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,8.7,,insufficient,0.0,,insufficient,0.0,,insufficient,9.9,,insufficient,5.4,,insufficient,9.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,2,169.6410173160173,good,68.8,366.50765864332607,good,68.0,49.05094827586207,good,69.0,52.161363636363646,good,68.8,52.848778509719224,good,68.9,59.80118110236221,good,56.7,1.9789870689655173,good,69.0,9.396599099099099,good,66.1,22.49060344827586,good,69.0,0.00033419023136246786,good,57.9,0.0,good,57.7,1.1510000000000002,good,56.5,0.16163987138263666,sparse,46.3,0.06874999999999999,sparse,25.0,,insufficient,0.0,2.757349137931034,good,69.0,151.35174568965516,good,69.0,45.945798969072165,good,57.7,25.094008620689653,good,69.0,180.55325714285712,sparse,26.0,0.03891752577319587,good,57.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,3,141.49861932938856,good,68.1,291.37012121212126,good,66.5,64.99943548387097,good,66.7,28.431466666666665,good,50.4,42.541127716535435,good,68.3,43.11770925110132,good,61.0,2.145964566929134,good,68.3,20.64664583333333,good,64.5,30.46531496062992,good,68.3,0.0,good,68.3,0.0,good,68.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.705137795275591,good,68.3,183.73862204724406,good,68.3,52.1905905511811,good,68.3,28.742322834645666,good,68.3,151.1757528957529,sparse,34.8,0.06590551181102362,good,68.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,4,60.536279761904765,sparse,46.7,122.01414893617022,good,52.2,32.752459770114946,good,60.4,14.82734693877551,sparse,40.8,17.76054267260579,good,62.4,55.80269141531322,good,59.9,2.5660000000000003,good,62.5,22.12309090909091,good,61.1,28.040736607142858,good,62.2,0.01017817371937639,good,62.4,2.2271714922048998e-05,good,62.4,0.4089444444444445,good,50.0,,insufficient,3.3,,insufficient,6.1,,insufficient,0.0,2.5864444444444445,good,62.5,206.17926666666665,good,62.5,61.36008888888889,good,62.5,29.6682,good,62.5,156.36019672131147,sparse,42.4,0.0794,good,62.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,5,51.69743401759531,good,91.7,117.19666666666667,good,93.5,20.543600562587905,good,95.6,14.02444730077121,good,52.3,10.811884090909093,good,97.6,35.36705801104972,good,97.3,1.785922865013774,good,97.6,23.500509641873283,good,97.6,21.384545454545457,good,97.6,0.0002754820936639119,good,97.6,0.0,good,97.6,0.23778748180494907,good,92.3,,insufficient,0.0,,insufficient,3.5,,insufficient,0.0,2.6368870523415975,good,97.6,219.12453168044073,good,97.6,67.49723140495867,good,97.6,30.216294765840217,good,97.6,155.98815573770491,good,65.6,0.04454545454545455,good,97.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,6,39.47187214611872,good,60.8,132.3969230769231,good,61.4,18.961967213114754,sparse,25.4,,insufficient,16.1,4.974469910313902,good,61.9,45.86941704035874,good,61.9,2.1328699551569508,good,61.9,14.951027027027024,sparse,25.7,15.464535519125683,sparse,25.4,0.0008295964125560538,good,61.9,0.0,good,61.9,0.23926008968609866,good,61.9,,insufficient,0.4,,insufficient,1.7,,insufficient,0.0,2.619977578475337,good,61.9,201.25049327354262,good,61.9,75.4857399103139,good,61.9,29.014170403587443,good,61.9,96.40693121693121,good,52.5,0.05838565022421525,good,61.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,7,21.655380116959066,good,91.9,103.45337535014006,good,96.0,33.93253448275862,good,78.0,4.3644813278008305,sparse,32.4,11.763082397820165,good,98.7,53.485120689655176,good,78.0,1.8762261580381472,good,98.7,21.24380378657487,good,78.1,19.701519861830743,good,77.8,0.00016348773841961853,good,98.7,0.002125340599455041,good,98.7,,insufficient,22.3,,insufficient,2.4,,insufficient,1.9,,insufficient,0.0,2.451948228882834,good,98.7,176.00025885558583,good,98.7,82.43862397820165,good,98.7,27.908760217983648,good,98.7,66.02998616874136,good,97.2,0.052561307901907356,good,98.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,8,23.701686390532544,sparse,45.4,97.74836734693876,sparse,32.9,,insufficient,22.6,,insufficient,5.5,5.470270645161291,good,50.0,,insufficient,21.1,1.1661559139784945,good,50.0,,insufficient,22.6,,insufficient,22.6,0.0,good,50.0,0.0,good,50.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.6614784946236556,good,50.0,179.80486559139783,good,50.0,84.5622311827957,good,50.0,27.225860215053764,good,50.0,61.35158333333333,sparse,48.4,0.04188172043010753,good,50.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Talcher,Odisha,Odisha,2018,9,,insufficient,0.0,0.1432994923857868,sparse,27.4,,insufficient,0.0,48.19316666666666,sparse,33.3,,insufficient,0.0,,insufficient,23.9,,insufficient,0.0,27.460196721311473,sparse,42.4,13.22407894736842,sparse,42.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
