city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Thane,Maharashtra,Maharashtra,2016,9,18.84587628865979,good,94.3,34.211487481590574,good,94.3,65.03767080745341,good,89.4,10.23746894409938,good,89.4,,insufficient,0.0,9.609513274336283,good,94.2,0.9251840942562592,good,94.3,3.2068535825545172,good,89.2,22.908335787923416,good,94.3,3.7440657698056796,good,92.9,102.20701960784314,good,70.8,44.50266568483063,good,94.3,23.744538878842675,good,76.8,14.8765503875969,good,71.7,0.8717817014446226,good,86.5,189.0651364365971,good,86.5,26.199501607717043,good,86.4,335.69199999999995,sparse,30.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2016,10,43.316035767511174,good,90.2,91.64557377049181,good,90.2,8.554388059701493,good,90.1,25.07613432835821,good,90.1,20.419210977701546,good,78.4,32.78498461538461,good,87.4,0.17991058122205666,good,90.2,2.092,good,90.1,44.40347242921014,good,90.2,5.993353293413174,good,89.8,94.28292307692308,good,78.6,,insufficient,11.7,19.93873355263158,good,81.7,11.639554794520548,good,78.5,0.7630298507462687,good,90.1,169.8089552238806,good,90.1,27.088733233979138,good,90.2,261.7773463687151,sparse,48.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2016,11,70.8775513196481,good,94.7,129.38321766561515,good,88.1,23.695021097046414,good,98.8,57.077398030942334,good,98.8,56.768410689170175,good,98.8,65.0781560283688,good,78.3,0.7957383966244725,good,98.8,5.625513361462728,good,98.8,64.06254310344828,good,96.7,10.66383877159309,good,72.4,130.20394117647058,good,70.8,,insufficient,0.0,22.887906066536207,good,71.0,14.10187747035573,good,70.3,0.7347398030942335,good,98.8,151.37254571026725,good,98.8,26.11946554149086,good,98.8,236.26299719887956,sparse,49.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2016,12,71.6288704819277,good,89.2,141.8589759036145,good,89.2,32.124565868263474,good,89.8,51.889985029940114,good,89.8,53.33233532934132,good,89.8,57.89174067495559,good,75.7,0.4089221556886227,good,89.8,7.384056886227545,good,89.8,63.444244274809165,good,88.0,15.39403903903904,good,89.5,103.41346570397113,good,74.5,,insufficient,0.0,22.696348920863308,good,74.7,11.470953237410072,good,74.7,0.7697744360902256,good,89.4,155.41396992481205,good,89.4,25.672764350453175,good,89.0,191.04682191780822,sparse,49.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2017,1,71.53821739130436,good,92.7,174.09681751824817,good,92.1,36.13236574746009,good,92.6,41.030957910014514,good,92.6,50.45975362318841,good,92.7,52.878038585209005,good,83.6,0.0868695652173913,good,92.7,10.1821884057971,good,92.7,49.759686567164174,good,90.1,11.891942028985506,good,92.7,0.7224193548387096,good,91.7,,insufficient,0.0,22.011959361393323,good,92.6,3.4672133526850506,good,92.6,0.7623076923076924,good,92.6,168.0221915820029,good,92.6,24.473101449275365,good,92.7,134.96707246376812,good,92.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2017,2,75.07968749999999,good,85.7,195.84168695652176,good,85.6,41.13885416666667,good,85.7,30.73237847222222,good,85.7,49.150277777777774,good,85.7,53.341486988847585,good,80.1,0.27866319444444443,good,85.7,8.865988909426987,good,80.5,50.140403508771925,good,84.8,10.841996527777777,good,85.7,1.9502797202797202,good,85.1,,insufficient,0.0,21.400156250000002,good,85.7,4.332482638888889,good,85.7,0.8187312186978296,good,89.1,185.15320534223707,good,89.1,26.66569282136895,good,89.1,92.80571759259261,good,64.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2017,3,68.73265498652292,good,99.7,163.14963562753036,good,99.6,26.31614555256065,good,99.7,21.076702557200537,good,99.9,32.12254716981132,good,99.7,30.36770083102493,good,97.0,0.20352624495289365,good,99.9,8.013989218328842,good,99.7,36.597506738544475,good,99.7,9.20693135935397,good,99.9,1.4943337819650067,good,99.9,,insufficient,0.0,14.992126514131897,good,99.9,1.4756527590847912,good,99.9,0.8914939434724093,good,99.9,198.07816711590297,good,99.7,28.06751009421265,good,99.9,,insufficient,13.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2017,4,44.32161888701518,good,82.4,130.17043844856659,good,82.4,29.323602693602695,good,82.5,55.32678451178451,good,82.5,60.47567340067341,good,82.5,17.722034188034186,good,81.2,1.304309764309764,good,82.5,14.116181818181818,good,76.4,33.84286201022146,good,81.5,6.4461952861952865,good,82.5,40.55328836424958,good,82.4,,insufficient,0.0,10.899057239057239,good,82.5,0.36254208754208755,good,82.5,0.9375294117647059,good,82.6,195.64509243697478,good,82.6,29.72878991596638,good,82.6,204.29492537313433,sparse,46.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2017,5,21.693482280431432,good,87.2,106.70072753209702,good,94.2,24.18551282051282,good,94.4,124.08350427350426,good,94.4,93.42566951566953,good,94.4,7.966137724550898,good,89.8,3.3802844950213373,good,94.5,29.654410919540233,good,93.5,22.595234708392603,good,94.5,4.182503556187767,good,94.5,2.0239260312944523,good,94.5,,insufficient,0.0,9.089388335704125,good,94.5,0.28024182076813653,good,94.5,1.1390935251798562,good,93.4,211.5577122302158,good,93.4,31.00705035971223,good,93.4,192.98156321839082,good,58.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
Thane,Maharashtra,Maharashtra,2017,6,54.07911149825784,good,79.7,91.08025679758308,good,91.9,50.808749999999996,good,93.3,61.183870014771045,good,94.0,73.85790178571428,good,93.3,8.56480421686747,good,92.2,1.0772525849335302,good,94.0,14.337108792846497,good,93.2,18.40865209471767,good,76.2,3.761543026706231,good,93.6,1.7030621301775148,good,93.9,,insufficient,0.0,11.695754437869823,good,93.9,0.34840236686390536,good,93.9,1.0040518638573743,good,85.7,182.88565359477124,good,85.0,28.738000000000003,good,85.4,114.36743820224719,good,61.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2016,2022,1
