city,state,state_original,year,month,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Thoothukudi,Tamil Nadu,Tamil Nadu,2020,11,46.15126811594203,good,76.7,7.868274231678487,good,58.8,6.16933014354067,good,58.1,8.276570048309178,good,57.5,5.032269662921348,good,61.8,0.14904936014625228,good,76.0,,insufficient,0.0,46.31553345388788,good,76.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,3.8512477396021696,good,76.8,192.3251898734177,good,76.8,71.63864376130199,good,76.8,38.32599999999999,sparse,43.8,,insufficient,18.9,,insufficient,0.0,815.2573142857143,good,72.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2020,12,51.60591133004926,good,81.9,7.081521739130434,good,74.2,5.76575,good,75.3,6.650457746478874,good,76.3,5.065221674876848,good,81.9,0.17317204301075267,good,75.0,,insufficient,0.0,63.433563218390816,good,81.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,4.3797536945812805,good,81.9,212.8392118226601,good,81.9,72.38793103448276,good,81.9,37.268009868421046,good,81.7,,insufficient,11.7,,insufficient,0.0,809.9309059829059,good,78.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,1,41.080123966942146,good,97.6,7.466275964391692,good,90.6,5.60625748502994,good,89.8,6.886529411764706,good,91.4,5.086698240866036,good,99.3,0.19662939297124604,good,84.1,,insufficient,0.0,44.555837837837835,good,99.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,4.023499999999999,good,99.5,216.88412162162163,good,99.5,75.09404054054053,good,99.5,34.61762758620689,good,97.4,355.4247565543071,sparse,35.9,,insufficient,0.0,790.663812233286,good,94.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,2,57.8250773993808,good,96.1,6.420284810126582,good,94.0,4.565033557046981,good,88.7,5.961296875,good,95.2,5.061934984520124,good,96.1,0.19175732217573224,good,71.1,,insufficient,0.0,35.46063063063063,good,99.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,4.389477611940298,good,99.7,237.57177611940298,good,99.7,66.30559701492537,good,99.7,22.45679104477612,good,99.7,,insufficient,12.8,,insufficient,0.0,724.1502442748092,good,97.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,3,61.991263440860216,good,100.0,6.825249643366619,good,94.2,4.4084700315457415,good,85.2,6.301787365177196,good,87.2,5.013790322580645,good,100.0,0.17184079601990052,good,81.0,,insufficient,0.0,21.729218328840968,good,99.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,3.7812231182795695,good,100.0,228.96629032258062,good,100.0,65.25873655913979,good,100.0,24.869852150537632,good,100.0,,insufficient,10.5,,insufficient,0.0,736.3156055900621,good,86.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,4,78.24453551912568,good,76.2,7.915969289827256,good,72.4,4.096008492569003,good,65.4,6.44943137254902,good,70.8,5.2103284671532855,good,76.1,0.14910331384015596,good,71.2,,insufficient,0.0,26.372386156648453,good,76.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,3.184408014571949,good,76.2,158.8169398907104,good,76.2,63.197632058287795,good,76.2,24.43389799635701,good,76.2,,insufficient,6.9,,insufficient,0.0,734.8035229357799,good,75.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,5,50.68855218855219,sparse,39.9,5.3051111111111116,sparse,36.3,4.830301886792452,sparse,35.6,5.139695945945945,sparse,39.8,5.042222222222222,sparse,39.9,0.0756842105263158,sparse,25.5,,insufficient,0.0,32.92596610169492,sparse,39.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,5.738417508417508,sparse,39.9,149.40740740740742,sparse,39.9,58.994949494949495,sparse,39.9,24.687878787878788,sparse,39.9,300.1978846153846,sparse,28.0,,insufficient,0.0,737.5310915492959,sparse,38.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,6,64.01313920454545,good,97.8,6.117019374068554,good,93.2,4.833311999999999,good,86.8,5.837629733520336,good,99.0,5.18576652601969,good,98.8,0.12397459165154265,good,76.5,,insufficient,0.0,29.24905160390516,good,99.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,5.149610027855153,good,99.7,152.85713091922005,good,99.7,54.01183844011142,good,99.7,23.83602816901409,good,98.6,350.8853260869565,good,63.9,,insufficient,0.0,735.0429387186631,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,7,44.87768817204301,good,100.0,6.343926470588235,good,91.4,5.564316109422492,good,88.4,5.998613728129205,good,99.9,5.2343951612903235,good,100.0,0.14357643758765778,good,95.8,,insufficient,0.0,28.978978494623657,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,6.283454301075268,good,100.0,160.74485215053764,good,100.0,52.58702956989247,good,100.0,24.986760752688173,good,100.0,362.31633771929825,good,61.3,,insufficient,0.0,740.0520833333334,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,8,45.31140350877193,good,99.6,3.409409984871407,good,88.8,3.915405405405406,good,89.5,4.439185714285714,good,94.1,5.329768707482994,good,98.8,0.5112005856515373,good,91.8,,insufficient,0.0,28.991790040376852,good,99.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,5.525967741935483,good,100.0,156.5976747311828,good,100.0,52.307123655913976,good,100.0,24.818870967741933,good,100.0,363.1871396396396,good,59.7,,insufficient,0.0,739.3350134408602,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,9,48.02097902097902,good,99.3,3.342459546925566,good,85.8,3.5003770739064857,good,92.1,4.358585714285715,good,97.2,6.851968390804597,good,96.7,0.6404118993135012,good,60.7,,insufficient,0.0,30.084856115107915,good,77.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,4.906913407821229,good,99.4,166.94018156424582,good,99.4,54.26512569832403,good,99.4,25.10694134078212,good,99.4,359.8849311926606,good,60.6,,insufficient,0.0,740.6134776536313,good,99.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,10,40.74798115746972,good,99.9,5.361490066225166,good,81.2,22.241606299212595,good,85.3,16.117133858267714,good,85.3,6.799604519774013,good,95.2,0.5535347985347986,good,73.4,,insufficient,0.0,33.110395738203955,good,88.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,3.7077419354838708,good,100.0,160.88004032258064,good,100.0,65.01948924731182,good,100.0,24.57451612903226,good,100.0,330.54889112903226,good,66.7,,insufficient,0.0,740.378134430727,good,98.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,11,30.357407407407408,good,93.8,4.456375711574953,good,73.2,16.318177777777777,good,93.8,12.258622222222222,good,93.8,7.008857715430862,good,69.3,1.0704225352112675,good,59.2,,insufficient,0.0,24.9019881305638,good,93.6,,insufficient,14.9,,insufficient,14.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.6678814814814817,good,93.8,199.0995111111111,good,93.8,76.80444444444444,good,93.8,25.380385185185183,good,93.8,299.1956024096386,good,69.2,,insufficient,0.0,749.9577404580153,good,91.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Thoothukudi,Tamil Nadu,Tamil Nadu,2021,12,48.889823717948715,good,83.9,3.842176386913229,good,94.5,14.717964959568736,good,99.7,10.978719676549865,good,99.7,2.5788742964352718,good,71.6,0.19729411764705884,good,57.1,,insufficient,0.0,7.133423180592992,good,99.7,1.4341025641025642,good,99.6,2.8116801075268816,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,3.6173387096774197,good,100.0,268.96696236559137,good,100.0,70.09744623655914,good,100.0,25.34228494623656,good,100.0,256.6358870967742,good,83.3,,insufficient,0.0,741.6691374663072,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
