city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Tirupati,Andhra Pradesh,Andhra Pradesh,2016,7,13.601020733652312,sparse,42.1,38.705518341307815,sparse,42.1,17.37261562998405,sparse,42.1,43.56650717703349,sparse,42.1,34.14248803827751,sparse,42.1,5.09495840266223,sparse,40.4,0.8442743221690591,sparse,42.1,8.090377049180328,sparse,41.0,14.305514469453378,sparse,41.8,0.7079744816586921,sparse,42.1,6.018787878787879,sparse,42.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.19272727272727275,sparse,42.1,0.8728389154704944,sparse,42.1,163.19240829346091,sparse,42.1,70.6555980861244,sparse,42.1,27.959720893141945,sparse,42.1,115.53424242424242,sparse,42.1,0.5140510366826158,sparse,42.1,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2016,8,11.9802828854314,sparse,47.5,44.518293370944996,sparse,47.6,19.583150492264416,sparse,47.8,46.33549929676512,sparse,47.8,36.11948016415869,sparse,49.1,5.010614035087719,sparse,46.0,0.792845417236662,sparse,49.1,7.930116618075801,sparse,46.1,17.69688293370945,sparse,47.6,0.6546175243393602,sparse,48.3,5.861752433936023,sparse,48.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.23828929068150215,sparse,48.3,0.8009233926128589,sparse,49.1,291.30573839662446,sparse,47.8,65.79663853727145,sparse,47.8,28.941655266757863,sparse,49.1,119.05281805745554,sparse,49.1,0.1168262653898769,sparse,49.1,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2016,9,15.886217616580312,sparse,40.2,38.86704663212436,sparse,40.2,18.706632124352332,sparse,40.2,48.72113989637306,sparse,40.2,37.50700516351119,sparse,40.3,5.152036036036036,sparse,38.5,0.8372977624784854,sparse,40.3,8.94206834532374,sparse,38.6,16.710520833333334,sparse,40.0,0.7599311531841652,sparse,40.3,6.1173838209982785,sparse,40.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.24559380378657486,sparse,40.3,0.8466523235800345,sparse,40.3,226.41110535405872,sparse,40.2,70.52493955094992,sparse,40.2,28.092271944922548,sparse,40.3,98.1421686746988,sparse,40.3,0.15781411359724615,sparse,40.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2016,10,41.47965373961218,sparse,48.5,81.3892817679558,sparse,48.7,26.13084254143647,sparse,48.7,86.14412983425413,sparse,48.7,62.538799999999995,sparse,48.7,7.05176724137931,sparse,46.8,0.8944736842105264,sparse,48.5,13.722667597765364,sparse,48.1,15.543748169838947,sparse,45.9,1.5862344827586206,sparse,48.7,7.733186206896551,sparse,48.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.4157931034482756,sparse,48.7,0.7781034482758621,sparse,48.7,202.65037292817678,sparse,48.7,61.23457182320442,sparse,48.7,28.207613793103448,sparse,48.7,111.99729655172415,sparse,48.7,0.07231724137931034,sparse,48.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2016,11,56.79851959361393,sparse,47.8,88.91944847605225,sparse,47.8,22.75976777939042,sparse,47.8,103.15240928882437,sparse,47.8,72.89688856729377,sparse,48.0,6.748681818181819,sparse,45.8,0.931548480463097,sparse,48.0,10.115694864048338,sparse,46.0,17.633976777939044,sparse,47.8,1.6394500723589003,sparse,48.0,4.85959479015919,sparse,48.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.3564833574529667,sparse,48.0,0.9878871201157741,sparse,48.0,249.45723837209306,sparse,47.8,68.87471698113208,sparse,47.8,26.849992764109988,sparse,48.0,106.46418234442837,sparse,48.0,0.09149059334298118,sparse,48.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2016,12,50.67191222570533,sparse,42.9,80.76525157232705,sparse,42.7,26.09716300940439,sparse,42.9,97.81412225705328,sparse,42.9,72.75214397496089,sparse,42.9,5.376237785016287,sparse,41.3,0.9497339593114241,sparse,42.9,9.286731707317074,sparse,41.3,17.46691823899371,sparse,42.7,1.5906885758998435,sparse,42.9,4.267120500782473,sparse,42.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.49143974960876374,sparse,42.9,0.9774256651017215,sparse,42.9,186.75045454545455,sparse,42.9,74.83095611285266,sparse,42.9,25.93957746478873,sparse,42.9,90.00181533646322,sparse,42.9,0.4618935837245696,sparse,42.9,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,1,46.106432432432435,sparse,49.7,77.33953929539295,sparse,49.6,23.942878378378378,sparse,49.7,102.07158108108108,sparse,49.7,73.72444594594594,sparse,49.7,5.256175637393767,sparse,47.4,0.9340405405405404,sparse,49.7,9.498069930069928,sparse,48.1,16.63062162162162,sparse,49.7,1.468472972972973,sparse,49.7,3.912608108108108,sparse,49.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.40459459459459457,sparse,49.7,0.9218716216216215,sparse,49.7,261.5221891891892,sparse,49.7,72.61962162162162,sparse,49.7,25.789770270270267,sparse,49.7,104.84677027027027,sparse,49.7,0.10612162162162163,sparse,49.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,2,47.76152207001522,sparse,48.9,80.34080669710808,sparse,48.9,20.2881914893617,sparse,49.0,114.77814589665653,sparse,49.0,77.51708206686929,sparse,49.0,6.008054226475279,sparse,46.7,0.922887537993921,sparse,49.0,9.394287974683545,sparse,47.0,15.344848024316109,sparse,49.0,1.3466565349544073,sparse,49.0,3.918130699088146,sparse,49.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.37920972644376905,sparse,49.0,0.6876139817629179,sparse,49.0,236.31189969604864,sparse,49.0,58.997568389057754,sparse,49.0,26.642462006079025,sparse,49.0,121.69630699088148,sparse,49.0,0.0,sparse,49.0,,insufficient,0.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,3,26.50204081632653,sparse,49.4,59.59788732394366,sparse,47.7,13.420646029609692,sparse,49.9,91.47779273216689,sparse,49.9,59.46225806451613,good,50.0,5.181742209631727,sparse,47.4,0.8305913978494625,good,50.0,7.3138826815642455,sparse,48.1,16.75986541049798,sparse,49.9,1.0142069892473118,good,50.0,3.4784274193548383,good,50.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.15950268817204302,good,50.0,0.5766599462365591,good,50.0,170.79104979811575,sparse,49.9,62.32301480484522,sparse,49.9,29.420275537634414,good,50.0,113.14694892473119,good,50.0,0.0,good,50.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,4,43.73132330827068,sparse,46.2,94.38848120300752,sparse,46.2,9.235855855855856,sparse,46.2,69.18026986506746,sparse,46.3,44.068059701492544,sparse,46.5,6.824616588419405,sparse,44.4,0.9309701492537313,sparse,46.5,7.801929555895865,sparse,45.3,17.189955022488757,sparse,46.3,1.3489552238805969,sparse,46.5,3.523955223880597,sparse,46.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.2016590563165906,sparse,45.6,0.558910447761194,sparse,46.5,175.38024024024025,sparse,46.2,56.082837837837836,sparse,46.2,30.907171641791045,sparse,46.5,134.79265671641792,sparse,46.5,0.0,sparse,46.5,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,5,28.764228187919464,sparse,40.1,66.69337248322148,sparse,40.1,5.97985,sparse,40.3,46.108983333333335,sparse,40.3,29.220033167495856,sparse,40.5,5.997779690189329,sparse,39.0,0.6803482587064676,sparse,40.5,5.835933333333333,sparse,40.3,17.913016666666667,sparse,40.3,1.0486733001658375,sparse,40.5,3.279187396351576,sparse,40.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.25986733001658374,sparse,40.5,0.664950248756219,sparse,40.5,194.77156040268457,sparse,40.1,59.26087102177554,sparse,40.1,31.18795,sparse,40.3,138.05666666666667,sparse,40.5,0.0,sparse,40.5,,insufficient,0.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,6,14.365444126074498,sparse,48.5,38.32094420600858,sparse,48.5,4.533865905848788,sparse,48.7,33.73847360912981,sparse,48.7,21.598717948717947,sparse,48.8,4.252738944365193,sparse,48.7,0.38445868945868944,sparse,48.8,3.5105278174037093,sparse,48.7,16.099583931133427,sparse,48.4,0.554017094017094,sparse,48.8,1.9335754985754985,sparse,48.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.03856125356125357,sparse,48.8,0.947991452991453,sparse,48.8,195.1325534950071,sparse,48.7,64.47325249643367,sparse,48.7,28.90485754985755,sparse,48.8,103.25153846153846,sparse,48.8,0.293584,sparse,43.4,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,7,,insufficient,14.9,,insufficient,14.9,,insufficient,15.3,,insufficient,15.3,,insufficient,15.3,,insufficient,14.1,,insufficient,15.3,,insufficient,1.1,,insufficient,15.2,,insufficient,15.3,,insufficient,15.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,15.3,,insufficient,15.2,,insufficient,14.6,,insufficient,14.7,,insufficient,14.5,,insufficient,15.2,,insufficient,15.1,,insufficient,5.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,8,16.945126903553298,sparse,39.7,46.96389170896785,sparse,39.7,14.251607445008462,sparse,39.7,59.68834179357022,sparse,39.7,43.333570219966155,sparse,39.7,5.2604308797127475,sparse,37.4,0.4152453468697124,sparse,39.7,,insufficient,0.0,22.28394247038917,sparse,39.7,0.18918781725888326,sparse,39.7,0.6941116751269036,sparse,39.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.044179357021996615,sparse,39.7,0.6770896785109982,sparse,39.7,178.06754653130287,sparse,39.7,74.64199661590524,sparse,39.7,27.653028764805413,sparse,39.7,58.18994923857867,sparse,39.7,0.128663282571912,sparse,39.7,753.2838578680203,sparse,39.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,9,20.121326378539493,sparse,46.6,44.249761904761904,sparse,46.7,14.685782414307004,sparse,46.6,80.15311475409837,sparse,46.6,54.245555555555555,sparse,46.9,4.488940809968848,sparse,44.6,0.31294814814814814,sparse,46.9,,insufficient,7.8,23.9498962962963,sparse,46.9,0.04991111111111111,sparse,46.9,0.34025185185185186,sparse,46.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.004474074074074074,sparse,46.9,0.5916148148148148,sparse,46.9,176.97925925925927,sparse,46.9,78.48605925925925,sparse,46.9,27.349770370370372,sparse,46.9,36.55678518518519,sparse,46.9,0.10118694362017805,sparse,46.8,757.16948,sparse,34.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,10,30.418584905660378,sparse,49.9,59.96804845222073,sparse,49.9,20.44860816944024,sparse,44.4,75.21053191489362,sparse,44.2,50.449919028340084,sparse,49.8,4.6092362093352195,sparse,47.5,0.035497311827956984,good,50.0,10.56639570552147,sparse,43.8,30.96555854643338,sparse,49.9,0.016559139784946237,good,50.0,0.13383064516129034,good,50.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.0,good,50.0,0.6526948924731183,good,50.0,148.4735262449529,sparse,49.9,79.3549798115747,sparse,49.9,27.102099596231493,sparse,49.9,38.495524193548384,good,50.0,0.09074024226110364,sparse,49.9,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,11,36.22267045454546,sparse,48.9,61.95992927864215,sparse,49.1,24.6978813559322,sparse,49.2,80.32803672316385,sparse,49.2,61.73590277777779,good,50.0,5.417964601769912,sparse,47.1,0.1910972222222222,good,50.0,9.48465829846583,sparse,49.8,33.430098452883264,sparse,49.4,0.753875,good,50.0,2.4906388888888884,good,50.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.201875,good,50.0,1.075923611111111,good,50.0,89.86473980309424,sparse,49.4,81.89838255977496,sparse,49.4,25.935653089887637,sparse,49.4,30.15683333333333,good,50.0,0.08780726256983241,sparse,49.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2017,12,54.10907586206897,sparse,48.7,86.63634722222221,sparse,48.4,24.967271468144045,sparse,48.5,64.53188365650969,sparse,48.5,54.54495844875347,sparse,48.5,5.647056213017751,sparse,45.4,0.6323489010989011,sparse,48.9,14.86754507628294,sparse,48.5,31.865848275862067,sparse,48.7,1.239793956043956,sparse,48.9,2.999478021978022,sparse,48.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.20771978021978021,sparse,48.9,1.009745879120879,sparse,48.9,132.17557692307693,sparse,48.9,79.00296703296704,sparse,48.9,25.31401785714286,sparse,48.9,45.073722527472526,sparse,48.9,0.003094910591471802,sparse,48.9,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
Tirupati,Andhra Pradesh,Andhra Pradesh,2018,1,61.48112307692307,sparse,43.7,98.67796610169492,sparse,43.6,26.443156297420334,sparse,44.3,71.08939301972686,sparse,44.3,59.28541729893778,sparse,44.3,6.100706260032102,sparse,41.9,0.621608497723824,sparse,44.3,16.64793626707132,sparse,44.3,38.05206373292868,sparse,44.3,1.2503034901365706,sparse,44.3,2.43628224582701,sparse,44.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.15895295902883155,sparse,44.3,0.823677370030581,sparse,44.0,206.38980061349696,sparse,43.8,70.42139570552148,sparse,43.8,24.992075038284835,sparse,43.9,56.78802450229709,sparse,43.9,0.0,sparse,44.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,2
