city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Udaipur,Rajasthan,Rajasthan,2017,10,64.56107843137255,sparse,27.4,142.99460784313726,sparse,27.4,35.587745098039214,sparse,27.4,43.36960784313726,sparse,27.4,,insufficient,0.0,4.441029411764706,sparse,27.4,1.3699509803921568,sparse,27.4,12.072051282051284,sparse,26.2,28.08665,sparse,26.9,2.4953431372549018,sparse,27.4,3.073970588235294,sparse,27.4,1.5135294117647058,sparse,27.4,5.255245098039215,sparse,27.4,2.3525,sparse,27.4,2.371078431372549,sparse,27.4,268.0094607843138,sparse,27.4,36.01529411764706,sparse,27.4,24.81843137254902,sparse,27.4,193.5310294117647,sparse,27.4,0.0,sparse,27.4,756.3796078431373,sparse,27.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2017,11,94.00628169014085,good,98.6,168.8541466854725,good,98.5,33.34955244755245,good,99.3,48.78614845938375,good,99.2,81.7507249070632,good,74.7,5.842592592592593,good,97.5,0.4172765363128491,good,99.4,21.939366906474817,good,96.5,38.667804878048784,good,96.8,5.925091678420311,good,98.5,3.3308510638297877,good,52.2,4.37430790960452,good,98.3,14.298050847457628,good,98.3,6.720819209039548,good,98.3,2.2228391608391607,good,99.3,255.3479300699301,good,99.3,44.914433566433566,good,99.3,21.01544055944056,good,99.3,177.07748603351956,good,99.4,0.0,good,99.4,759.7149297752809,good,98.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2017,12,79.64463172804533,good,94.9,198.2225246826516,good,95.3,47.53162589928057,good,93.4,54.75769774011299,good,95.2,36.071918767507,good,96.0,8.459665653495442,good,88.4,0.39416549789621314,good,95.8,48.030833333333334,good,95.2,19.686827195467423,good,94.9,17.195106685633,good,94.5,,insufficient,0.0,14.093177570093458,good,86.3,42.01516431924882,good,85.9,21.227367601246105,good,86.3,2.1910644257703082,good,96.0,243.29443977591035,good,96.0,52.53152661064426,good,96.0,17.743565891472866,good,86.7,207.93841736694677,good,96.0,0.0008403361344537815,good,96.0,761.6540756302521,good,96.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2018,1,82.34380886426594,good,97.0,171.85053867403317,good,97.3,41.278467966573814,good,96.5,44.0566013986014,good,96.1,62.48425797503469,good,96.9,11.767858136300417,good,96.6,0.20959944751381215,good,97.3,43.72956824512534,good,96.5,28.80925824175824,good,97.8,6.896560773480663,good,97.3,,insufficient,0.0,5.972542372881355,good,95.2,14.332871287128713,good,95.0,7.411850282485876,good,95.2,2.2753252032520326,good,99.2,246.30529093369415,good,99.3,43.424303112313936,good,99.3,17.79940460081191,good,99.3,221.47933694181324,good,99.3,0.00013531799729364006,good,99.3,763.7832520325204,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2018,2,64.72318584070797,good,50.4,127.64682352941176,good,50.6,17.182162162162165,sparse,27.5,20.87468926553672,sparse,26.3,30.150990990990994,sparse,33.0,14.987087087087087,sparse,49.6,1.250569105691057,good,54.9,30.56744680851064,sparse,28.0,32.45126843657817,good,50.4,3.38402144772118,good,55.5,,insufficient,0.0,4.961486880466472,good,51.0,6.250791788856305,good,50.7,5.253195266272189,good,50.3,2.2585337243401757,good,50.7,235.38933139534885,good,51.2,36.09968023255814,good,51.2,21.061627906976742,good,51.2,226.90014619883038,good,50.9,0.0,good,56.5,757.8391279069767,good,51.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2018,3,68.93475708502024,good,66.4,131.13295546558703,good,66.4,,insufficient,0.0,23.625505952380955,sparse,45.2,,insufficient,0.0,8.503430962343097,good,64.2,1.0296691176470587,good,73.1,26.629101796407184,sparse,44.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2018,4,62.64054545454545,good,84.0,162.25218210361066,good,88.5,,insufficient,0.0,25.807968503937005,good,88.2,,insufficient,0.0,10.786677419354838,good,86.1,1.1493374422187983,good,90.1,23.40582043343653,good,89.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2018,5,63.30591216216216,good,79.6,164.47819967266776,good,82.1,11.141319796954315,good,53.0,24.99593388429752,good,81.3,34.82888607594937,good,53.1,13.096247877758913,good,79.2,1.1491639344262294,good,82.0,15.169704433497538,good,81.9,46.405758354755775,good,52.3,1.5681725888324873,good,53.0,,insufficient,0.0,0.9015601023017903,good,52.6,2.802606516290727,good,53.6,1.317705735660848,good,53.9,2.4011961722488038,good,56.2,252.79021739130437,good,55.6,20.88061728395062,good,54.4,35.15360201511334,good,53.4,297.87483253588516,good,56.2,0.0,good,56.5,757.9771000000001,good,53.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2018,6,49.4592123769339,good,98.8,106.16087201125177,good,98.8,14.073582510578282,good,98.5,28.83564788732394,good,98.6,41.36440225035161,good,98.8,14.218293370944993,good,98.5,0.9167088607594936,good,98.8,22.646426553672317,good,98.3,30.56752461322082,good,98.8,1.287296918767507,good,99.2,,insufficient,0.0,1.2430324400564177,good,98.5,2.7012976022566995,good,98.5,1.6590267983074753,good,98.5,2.506652719665272,good,99.6,247.52729428172944,good,99.6,51.07755927475593,good,99.6,30.98135285913529,good,99.6,273.21417597765367,good,99.4,0.0,good,99.7,755.6206834030684,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Udaipur,Rajasthan,Rajasthan,2018,7,40.87650340136055,good,98.8,114.52823770491806,good,98.4,18.587747252747253,good,97.8,18.185459533607684,good,98.0,35.26919836956522,good,98.9,8.665424657534247,good,98.1,0.8149324324324324,good,99.5,22.984128943758574,good,98.0,30.95543715846994,good,98.4,1.2357259158751697,good,99.1,,insufficient,0.0,1.0016899441340783,good,96.2,2.5835555555555554,good,96.8,1.465850622406639,good,97.2,2.3969241192411923,good,99.2,240.32430894308948,good,99.2,78.75556910569105,good,99.2,26.729227642276424,good,99.2,238.30521739130435,good,98.9,0.012362869198312235,good,95.6,751.6682791327912,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
