city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Udupi,Karnataka,Karnataka,2021,2,,insufficient,0.0,62.21844705882353,good,63.2,11.930398126463702,good,63.5,25.26400468384075,good,63.5,37.19348946135832,good,63.5,7.831653333333333,good,55.8,1.2983999999999998,good,63.2,2.102894736842105,good,62.2,110.61076923076924,good,50.3,0.05748235294117648,good,63.2,,insufficient,0.0,0.01641095890410959,good,54.3,0.0478436018957346,good,62.8,,insufficient,0.0,,insufficient,0.0,1.2366197183098593,good,63.4,16.720658823529412,good,63.2,65.6192705882353,good,63.2,27.650564705882353,good,63.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,3,,insufficient,0.0,173.99180769230773,good,69.9,10.319903846153847,good,69.9,18.075451055662192,good,70.0,28.420961538461537,good,69.9,11.758522072936659,good,70.0,1.284923076923077,good,69.9,1.371043083900227,good,59.3,89.2521081081081,sparse,49.7,0.44669376693766943,sparse,49.6,,insufficient,0.0,1.6386345381526104,sparse,33.5,0.028380952380952378,sparse,42.3,,insufficient,0.0,,insufficient,0.0,1.2976199616122839,good,70.0,18.13556621880998,good,70.0,68.58750479846448,good,70.0,29.78358925143954,good,70.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,4,,insufficient,0.0,51.19046321525885,good,51.0,8.644607594936708,good,54.9,13.56192405063291,good,54.9,22.13121212121212,good,55.0,15.201178010471205,good,53.1,1.3195959595959594,good,55.0,8.862293906810036,sparse,38.8,116.68999999999998,sparse,42.2,0.11024390243902439,sparse,34.2,,insufficient,0.0,,insufficient,5.6,,insufficient,14.9,,insufficient,0.0,,insufficient,0.0,1.4637027707808563,good,55.1,20.269166666666667,good,55.0,65.57659090909091,good,55.0,30.244823232323235,good,55.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,5,,insufficient,0.0,9.337438423645322,good,54.6,7.27027972027972,good,57.7,7.4880652680652675,good,57.7,14.755804195804195,good,57.7,13.428201219512195,sparse,44.1,1.4097202797202797,good,57.7,7.979439252336448,good,57.5,55.79448795180723,sparse,44.6,0.010116550116550117,good,57.7,,insufficient,0.0,,insufficient,2.3,,insufficient,9.1,,insufficient,0.0,,insufficient,0.0,1.443410138248848,good,58.3,19.19324884792627,good,58.3,71.40198156682027,good,58.3,29.66172811059908,good,58.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,6,,insufficient,0.0,9.19889880952381,sparse,46.7,8.722850356294536,good,58.5,6.578162291169451,good,58.2,15.181895734597157,good,58.6,12.49683698296837,good,57.1,1.5279529411764705,good,59.0,7.953617021276596,good,58.8,61.10939320388349,good,57.2,0.02164705882352941,good,59.0,,insufficient,0.0,,insufficient,5.0,,insufficient,14.4,,insufficient,0.0,,insufficient,0.0,1.2916941176470589,good,59.0,18.85550588235294,good,59.0,78.32410501193318,good,58.2,27.705670588235293,good,59.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,7,,insufficient,0.0,5.5001257861635215,good,64.1,9.679489633173844,good,84.3,8.100729001584785,good,84.8,17.700079744816588,good,84.3,6.497160883280757,good,85.2,1.651816745655608,good,85.1,7.4622611464968145,good,84.4,71.0175158227848,good,84.9,0.024469096671949287,good,84.8,,insufficient,0.0,,insufficient,13.3,0.03373737373737373,sparse,26.6,,insufficient,0.0,,insufficient,0.0,1.23513470681458,good,84.8,20.0919175911252,good,84.8,84.37009508716324,good,84.8,26.365198098256737,good,84.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,8,,insufficient,0.0,6.38940119760479,good,67.3,12.929787610619469,good,75.9,8.866613475177306,good,75.8,21.73794690265487,good,75.9,20.55555752212389,good,75.9,1.917681415929203,good,75.9,7.543333333333334,good,75.8,84.10058027079303,good,69.5,,insufficient,19.0,,insufficient,0.0,,insufficient,0.1,,insufficient,2.2,,insufficient,0.0,,insufficient,0.0,1.2050354609929077,good,75.8,19.12033687943262,good,75.8,82.36879432624113,good,75.8,26.587535460992907,good,75.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,9,,insufficient,0.0,5.893952991452991,good,65.0,12.648026565464896,good,73.2,9.388669201520914,good,73.1,21.998159392789372,good,73.2,35.26542694497154,good,73.2,2.0668500948766604,good,73.2,7.723187855787476,good,73.2,68.89459207459208,good,59.6,0.005494296577946769,good,73.1,,insufficient,0.0,,insufficient,0.1,,insufficient,7.9,,insufficient,0.0,,insufficient,0.0,1.0798671726755216,good,73.2,21.249373814041746,good,73.2,82.38743833017078,good,73.2,26.664724857685012,good,73.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,10,,insufficient,0.0,16.005746835443038,good,53.1,16.19527607361963,good,65.7,16.424192229038855,good,65.7,32.49893660531697,good,65.7,39.35570332480819,good,52.6,2.3256441717791407,good,65.7,7.905725971370144,good,65.7,91.99721003134796,sparse,42.9,0.010401146131805157,sparse,46.9,,insufficient,0.0,,insufficient,0.0,,insufficient,16.0,,insufficient,0.0,,insufficient,0.0,1.1553073770491802,good,65.6,21.400225409836068,good,65.6,77.99700819672131,good,65.6,27.700061475409836,good,65.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Udupi,Karnataka,Karnataka,2021,11,,insufficient,0.0,16.956453333333332,good,52.1,18.980749414519902,good,59.3,19.212793427230046,good,59.2,38.12939110070258,good,59.3,11.96849765258216,good,59.2,0.43373239436619715,good,59.2,8.188196721311476,good,59.3,71.5938043478261,good,51.1,0.01430939226519337,good,50.3,,insufficient,0.0,,insufficient,1.8,,insufficient,20.4,,insufficient,0.0,,insufficient,0.0,1.1256338028169013,good,59.2,18.45586854460094,good,59.2,75.67396713615024,good,59.2,27.633568075117374,good,59.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
