city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Vijayapura,Karnataka,Karnataka,2020,1,42.51300917431192,good,73.3,51.01256880733945,good,73.3,2.0754952076677315,good,84.1,9.816613418530352,good,84.1,11.896006389776357,good,84.1,3.106896,good,84.0,0.8920926517571885,good,84.1,2.671511254019293,good,83.6,38.73284345047924,good,84.1,0.0,good,84.1,0.0,good,84.1,,insufficient,0.0,,insufficient,0.0,0.0,good,84.1,1.624352,good,84.0,174.1208945686901,good,84.1,54.462959999999995,good,84.0,21.404504792332272,good,84.1,165.82886581469648,good,84.1,,insufficient,0.0,810.7940415335463,good,84.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,2,55.382003231017755,good,88.9,66.4897741935484,good,89.1,2.0700805152979065,good,89.2,10.888856682769726,good,89.2,12.949919484702093,good,89.2,4.830193861066236,good,88.9,0.8876006441223832,good,89.2,2.5745559210526316,good,87.4,48.37207729468599,good,89.2,0.0,good,89.2,0.0,good,89.2,,insufficient,0.0,,insufficient,0.0,0.0,good,89.2,1.7752818035426732,good,89.2,166.64455573505657,good,88.9,43.12264090177134,good,89.2,22.11684380032206,good,89.2,172.09927536231882,good,89.2,,insufficient,0.0,813.3311272141707,good,89.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,3,42.32014732965009,good,73.0,56.61341328413285,good,72.8,2.0387292817679556,good,73.0,9.85720073664825,good,73.0,11.89073664825046,good,73.0,4.814898710865561,good,73.0,0.8580478821362799,good,73.0,2.7696289424860856,good,72.4,57.08558011049724,good,73.0,0.0,good,73.0,0.0,good,73.0,,insufficient,0.0,,insufficient,0.0,0.0,good,73.0,10.998213627992634,good,73.0,193.50701107011068,good,72.8,38.010331491712705,good,73.0,23.107918968692445,good,73.0,185.694788213628,good,73.0,,insufficient,0.0,809.1510313075505,good,73.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,5,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.4,,insufficient,7.7,,insufficient,7.7,,insufficient,0.0,,insufficient,0.0,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,0.0,,insufficient,7.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,6,22.16367201426025,good,77.9,35.43409252669039,good,78.1,2.0946746575342465,good,81.1,9.732208904109589,good,81.1,11.82571917808219,good,81.1,2.9612142857142856,good,77.8,0.7026586620926243,good,81.0,5.320335689045936,good,78.6,44.103683304647156,good,80.7,0.0,good,81.0,0.0,good,81.0,,insufficient,0.0,,insufficient,0.0,0.0,good,81.0,30.65516295025729,good,81.0,261.45195876288653,good,80.8,72.46991423670669,good,81.0,22.58632933104631,good,81.0,208.10999999999999,good,81.0,,insufficient,0.0,821.3172727272728,good,81.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,7,21.41912087912088,good,97.8,34.28024657534246,good,98.1,2.5838503401360544,good,98.8,13.71299319727891,good,98.8,16.289537414965988,good,98.8,3.0310827067669175,good,89.4,0.8377551020408164,good,98.8,12.507632653061226,good,98.8,33.05919727891157,good,98.8,0.0,good,98.8,0.0,good,98.8,,insufficient,0.0,,insufficient,0.0,0.0,good,98.8,30.45970068027211,good,98.8,264.8950476190476,good,98.8,82.15945578231292,good,98.8,21.894952380952382,good,98.8,204.14691156462587,good,98.8,,insufficient,0.0,821.709156462585,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,8,19.187872340425532,good,94.8,30.690269121813035,good,94.9,2.091392405063291,sparse,42.5,9.92753164556962,sparse,42.5,11.989398734177216,sparse,42.5,2.0892500000000003,good,91.4,0.6653437500000001,sparse,43.0,3.6146964856230035,sparse,42.1,61.85475146198831,good,91.9,0.010664556962025316,sparse,42.5,0.014841772151898733,sparse,42.5,0.016770833333333332,sparse,25.8,0.01914027149321267,sparse,29.7,0.012436708860759494,sparse,42.5,30.857768361581925,good,95.2,280.9676129943503,good,95.2,82.97610169491526,good,95.2,21.661906779661017,good,95.2,182.24447740112993,good,95.2,,insufficient,0.0,814.3958615819209,good,95.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,9,20.722679830747534,good,98.5,33.13929478138223,good,98.5,2.0471583850931676,good,89.4,9.772360248447205,good,89.4,11.813773291925465,good,89.4,2.4166040462427745,good,96.1,0.7046894409937889,good,89.4,3.5762052877138415,good,89.3,37.86240611961057,good,99.9,0.011133540372670808,good,89.4,0.015062111801242235,good,89.4,0.01567375886524823,good,58.8,0.017262931034482763,good,64.4,0.013928571428571427,good,89.4,29.77086230876217,good,99.9,236.30803894297637,good,99.9,81.70061196105702,good,99.9,21.982878998609177,good,99.9,194.53945757997218,good,99.9,,insufficient,0.0,810.8260222531293,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Vijayapura,Karnataka,Karnataka,2020,10,30.15720445062587,good,96.6,49.47632768361583,good,95.2,2.0196383866481225,good,96.6,8.850027816411682,good,96.6,10.899554937413075,good,96.6,2.534433566433566,good,96.1,0.8512239221140473,good,96.6,3.7601114206128132,good,96.5,49.07808659217878,good,96.2,0.010083449235048678,good,96.6,0.014130737134909597,good,96.6,0.0149890590809628,good,61.4,0.01662313432835821,good,72.0,0.012614742698191933,good,96.6,19.380876216968012,good,96.6,199.2208484005563,good,96.6,74.66579387186628,good,96.5,22.06485396383866,good,96.6,193.17639777468708,good,96.6,,insufficient,0.0,813.869207232267,good,96.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
