city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Vrindavan,Uttar Pradesh,Uttar Pradesh,2021,8,24.225423242467723,good,93.7,67.71448863636364,good,94.6,1.4726382978723405,good,94.8,4.428368794326241,good,94.8,5.745120567375886,good,94.8,2.7814751773049644,good,94.8,0.3501985815602837,good,94.8,30.066425531914895,good,94.8,15.943420289855071,good,92.7,1.1581843971631205,good,94.8,,insufficient,0.0,6.472116666666667,good,80.6,5.83727559055118,good,85.3,,insufficient,0.0,0.982468085106383,good,94.8,155.84310638297873,good,94.8,79.46164539007093,good,94.8,29.91242553191489,good,94.8,257.5267592592593,good,58.1,0.029957446808510646,good,94.8,736.248524822695,good,94.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2021,9,18.005491329479767,good,96.1,37.76216814159292,good,94.2,2.595138888888889,good,100.0,2.765375,good,100.0,6.008930555555556,good,100.0,3.9715277777777778,good,100.0,0.33527777777777773,good,100.0,34.214875,good,100.0,14.596527777777778,good,100.0,0.005611111111111111,good,100.0,,insufficient,0.0,,insufficient,5.1,,insufficient,11.0,,insufficient,0.0,1.253736111111111,good,100.0,102.28966666666666,good,100.0,83.1638611111111,good,100.0,28.612666666666666,good,100.0,249.89537170263787,good,57.9,0.02063888888888889,good,100.0,738.0714722222222,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2021,10,70.2721536351166,good,98.0,153.95672578444749,good,98.5,5.394279946164199,good,99.9,11.049717362045762,good,99.9,17.181586021505378,good,100.0,5.952880215343203,good,99.9,0.6856989247311829,good,100.0,35.533432032301484,good,99.9,17.785082644628098,good,97.6,,insufficient,22.7,,insufficient,0.0,,insufficient,1.2,,insufficient,1.7,,insufficient,0.0,1.0976261127596438,good,90.6,155.5412017804154,good,90.6,64.23299703264095,good,90.6,26.87120178041543,good,90.6,327.90703196347033,sparse,29.4,0.01475806451612903,good,100.0,741.3564985163205,good,90.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2021,11,184.6958217270195,good,99.7,270.0854038997215,good,99.7,13.436611111111112,good,100.0,28.407166666666665,good,100.0,43.78736111111111,good,100.0,8.896180555555556,good,100.0,1.6670277777777778,good,100.0,40.579277777777776,good,100.0,12.30577746077033,good,97.4,0.0,good,85.1,,insufficient,0.0,,insufficient,0.1,,insufficient,0.1,,insufficient,0.0,0.7521944444444445,good,100.0,169.71198611111112,good,100.0,61.98159722222222,good,100.0,19.922361111111112,good,100.0,,insufficient,14.7,0.0060416666666666665,good,100.0,744.5235277777776,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2021,12,109.83248985115021,good,99.3,157.51385558583107,good,98.7,13.228145161290323,good,100.0,21.00989247311828,good,100.0,36.89231182795699,good,100.0,18.353655913978493,good,100.0,1.389516129032258,good,100.0,55.85608870967742,good,100.0,26.800671641791045,good,90.1,1.9010632911392407,good,53.1,,insufficient,0.0,,insufficient,0.7,,insufficient,0.7,,insufficient,0.0,0.8233288409703503,good,99.7,157.85803234501347,good,99.7,72.24307277628031,good,99.7,15.256361185983826,good,99.7,2.7766397849462368,good,100.0,0.004059139784946236,good,100.0,747.3640161725067,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2022,1,81.45990353697749,good,83.6,114.66543543543543,good,89.5,10.640147849462364,good,100.0,14.850537634408601,good,100.0,27.849610215053765,good,100.0,19.002163978494625,good,100.0,1.1648655913978496,good,100.0,46.60795698924732,good,100.0,34.40414535666218,good,99.9,0.0,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.0214516129032258,good,100.0,164.15202956989245,good,100.0,83.61079301075267,good,100.0,12.616881720430106,good,100.0,11.711935483870965,good,100.0,0.009368279569892474,good,100.0,745.9817204301074,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2022,2,52.80919385796545,good,77.5,101.26300632911392,good,94.0,7.25608630952381,good,100.0,12.343139880952382,good,100.0,20.973422619047618,good,100.0,20.629360119047618,good,100.0,0.8849404761904763,good,100.0,37.59254464285714,good,100.0,26.51141369047619,good,100.0,0.0,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.0783333333333336,good,100.0,175.47044642857145,good,100.0,71.41318452380952,good,100.0,16.790639880952384,good,100.0,20.900238095238098,good,100.0,0.01224702380952381,good,100.0,743.9929017857143,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2022,3,49.65418209876543,good,87.1,136.68385772913817,good,98.3,7.076532258064517,good,100.0,9.576827956989247,good,100.0,18.254529569892473,good,100.0,20.950282258064515,good,100.0,0.9260483870967742,good,100.0,25.922298387096774,good,100.0,27.673873144399465,good,99.6,0.0,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.102741935483871,good,100.0,159.84932795698924,good,100.0,52.088467741935474,good,100.0,25.97284946236559,good,100.0,25.81620967741935,good,100.0,0.005174731182795699,good,100.0,741.6597983870968,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2022,4,59.51611702127659,good,78.3,177.8431638418079,good,98.3,5.5768611111111115,good,100.0,11.61361111111111,good,100.0,18.017833333333332,good,100.0,24.359083333333334,good,100.0,0.756013888888889,good,100.0,39.550473537604454,good,99.7,28.208520249221188,good,89.2,0.0,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.1010694444444444,good,100.0,151.68115277777775,good,100.0,24.01013888888889,good,100.0,33.17843055555556,good,100.0,29.771819444444443,good,100.0,0.005208333333333334,good,100.0,738.6699305555555,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Vrindavan,Uttar Pradesh,Uttar Pradesh,2022,5,44.15017366136034,good,92.9,139.602027972028,good,96.1,2.902038567493113,good,97.6,6.5726344827586205,good,97.4,9.836969696969696,good,97.6,25.00863636363636,good,97.6,0.5514325068870524,good,97.6,9.160715746421268,good,65.7,33.35656432748538,good,91.9,0.0,good,97.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.420564738292011,good,97.6,209.18838842975208,good,97.6,45.42931129476584,good,97.6,33.71320936639118,good,97.6,15.646542699724517,good,97.6,0.02870523415977962,good,97.6,735.2520385674931,good,97.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
