city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Yadgir,Karnataka,Karnataka,2019,9,16.706622222222222,sparse,31.2,31.756008968609866,sparse,31.0,1.6434763948497855,sparse,32.4,3.940300429184549,sparse,32.4,2.430772532188841,sparse,32.4,15.086206896551724,sparse,32.2,0.49656652360515025,sparse,32.4,1.2605150214592273,sparse,32.4,37.337682403433476,sparse,32.4,,insufficient,7.6,13.056363636363637,sparse,32.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.0685836909871245,sparse,32.4,176.602660944206,sparse,32.4,77.64557939914162,sparse,32.4,23.85525751072961,sparse,32.4,722.3129184549356,sparse,32.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2019,10,21.393926031294452,good,94.5,34.85992907801418,good,94.8,2.20724043715847,good,98.4,6.0699591280653955,good,98.7,3.8355115961800816,good,98.5,15.823175033921302,good,99.1,0.43439759036144576,good,89.2,2.5429019073569483,good,98.7,43.69488435374149,good,98.8,0.09212719298245615,good,61.3,10.803506311360449,good,95.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.0595793758480325,good,99.1,157.3289145183175,good,99.1,77.90693351424696,good,99.1,23.03379918588874,good,99.1,723.4897150610583,good,99.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2019,11,48.761792717086834,good,99.2,75.27170868347339,good,99.2,3.036862745098039,good,99.2,11.856573426573428,good,99.3,7.4132867132867135,good,99.3,17.467615708274895,good,99.0,0.5570544090056285,good,74.0,4.268419580419581,good,99.3,53.80683029453015,good,99.0,0.170653685674548,good,99.9,8.83105702364395,good,99.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.106133518776078,good,99.9,140.37517385257303,good,99.9,65.83275382475661,good,99.9,23.214909596662032,good,99.9,725.0285118219749,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2019,12,49.187216066481994,good,97.0,76.81660664819944,good,97.0,4.1738035961272475,good,97.2,11.269986168741356,good,97.2,8.279253112033194,good,97.2,17.19488888888889,good,96.8,0.9254916067146285,good,56.0,4.579986168741355,good,97.2,54.15725381414701,good,96.9,0.14792531120331948,good,97.2,4.737399723374827,good,97.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.4825449515905946,good,97.2,165.16240663900416,good,97.2,65.27524204702628,good,97.2,21.22698478561549,good,97.2,726.4566666666666,good,97.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2020,1,44.60954301075269,good,100.0,72.13631720430108,good,100.0,4.894099462365591,good,100.0,15.449717741935483,good,100.0,11.109771505376344,good,100.0,17.770508241758243,good,97.8,0.932123287671233,good,58.9,4.930188172043011,good,100.0,38.29173387096775,good,100.0,0.15012096774193548,good,100.0,4.004677419354839,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.35502688172043,good,100.0,167.63373655913978,good,100.0,61.18514784946237,good,100.0,21.840315860215053,good,100.0,726.3024193548387,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2020,2,34.643055555555556,good,51.7,67.64075,good,51.7,3.2600833333333337,good,51.7,12.701083333333335,good,51.7,8.992083333333333,good,51.7,20.30245810055866,good,51.4,0.8348739495798319,good,51.3,4.319833333333333,good,51.7,54.62577777777778,good,51.7,0.17515320334261839,good,51.6,3.2213370473537606,good,51.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.393392857142857,sparse,48.3,139.86208913649025,good,51.6,40.08701949860724,good,51.6,24.16333333333333,good,51.7,765.7298050139276,good,51.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2020,3,29.379526462395543,good,96.5,59.7674253200569,good,94.5,3.7107960893854752,good,96.2,14.83783821478382,good,96.4,10.655425383542537,good,96.4,20.541852899575673,good,95.0,0.4955122655122655,good,93.1,4.433988842398884,good,96.4,33.30783430232558,good,92.5,0.1618384401114206,good,96.5,2.6039554317548745,good,96.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.3871325648414987,good,93.3,129.30334728033472,good,96.4,37.08066759388039,good,96.6,26.27972878998609,good,96.6,772.6517867435158,good,93.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2020,4,30.313271604938272,good,67.5,59.14952674897119,good,67.5,2.3919214876033057,good,67.2,8.244577319587629,good,67.4,5.94220618556701,good,67.4,19.892092050209204,good,66.4,0.10957683741648108,good,62.4,3.7798556701030925,good,67.4,17.7138783269962,sparse,36.5,0.21424742268041239,good,67.4,3.4501030927835052,good,67.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.5632644628099173,good,67.2,130.21656378600824,good,67.5,35.448580246913586,good,67.5,27.963045267489715,good,67.5,771.8184326710817,good,62.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2020,5,23.20684085510689,good,56.6,55.30145,good,53.8,3.571536643026004,good,56.9,10.654231678486997,good,56.9,7.652695035460993,good,56.9,19.851116389548693,good,56.6,0.10333333333333333,good,56.9,4.146501182033097,good,56.9,18.949929078014183,good,56.9,0.17983451536643028,good,56.9,3.0087706855791962,good,56.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.9244180522565322,good,56.6,131.63553191489362,good,56.9,38.60063679245283,good,57.0,29.28182783018868,good,57.0,769.7131678486998,good,56.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yadgir,Karnataka,Karnataka,2020,6,18.9634670487106,sparse,48.5,39.23850574712644,sparse,48.3,8.110752688172042,good,51.7,10.31886075949367,good,54.9,7.840784810126583,good,54.9,11.462527173913044,good,51.1,0.3300259067357513,good,53.6,3.243417721518987,good,54.9,24.51681818181818,good,55.0,0.3792411924119241,good,51.2,1.3358967391304348,good,51.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.7426943005181348,good,53.6,133.21110565110564,good,56.5,59.273306451612896,good,51.7,22.67006082725061,good,57.1,768.3773333333332,good,50.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
