city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Yamuna Nagar,Haryana,Haryana,2019,1,112.2002746365105,good,83.2,192.90801916932907,good,84.1,24.44031847133758,good,84.4,47.39420634920635,good,84.7,43.87847619047619,good,84.7,28.799881956155147,good,79.7,1.0906803797468356,good,84.9,9.350170454545456,sparse,47.3,31.137593495934958,good,82.7,9.20003144654088,good,85.5,0.0,good,54.8,13.65388535031847,good,84.4,12.394425956738768,good,80.8,10.790141509433962,good,85.5,1.78809963099631,good,72.8,217.43736162361623,good,72.8,75.41534399999999,good,84.0,,insufficient,0.0,234.48784511784513,sparse,39.9,0.005031446540880504,good,85.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,2,68.3668145800317,good,93.9,135.85776886035313,good,92.7,22.625277337559428,good,93.9,37.1931189710611,good,92.6,37.55109697933227,good,93.6,12.04140549273021,good,92.1,0.8860383386581471,good,93.2,17.529635499207608,good,93.9,39.14291056910569,good,91.5,4.67978159126365,good,95.4,0.6908092485549132,good,51.5,4.307063492063492,good,93.8,5.161050955414013,good,93.5,3.7230577223088925,good,95.4,1.9197419354838705,good,92.3,194.1322653721683,good,92.0,76.50738287560581,good,92.1,,insufficient,0.0,249.53342028985506,good,51.3,0.007433489827856025,good,95.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,3,58.26575035063113,good,95.8,132.29221598877982,good,95.8,66.74205056179775,good,95.7,34.89590973201692,good,95.3,73.43787921348316,good,95.7,11.32799715909091,good,94.6,0.7476544943820224,good,95.7,55.8527492877493,good,94.4,60.42639436619718,good,95.4,4.53513475177305,good,94.8,2.633163265306122,good,92.2,5.174878744650499,good,94.2,5.177589285714286,good,90.3,2.955078014184397,good,94.8,2.1799275362318844,good,92.7,237.1012463768116,good,92.7,63.924267053701016,good,92.6,,insufficient,0.0,332.2503370786517,good,59.8,0.006398305084745763,good,95.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,4,79.13156424581005,good,99.4,190.63352447552447,good,99.3,74.30532281205164,good,96.8,39.47350071736011,good,96.8,81.11484935437589,good,96.8,6.936788218793829,good,99.0,0.7814644351464435,good,99.6,76.2932424677188,good,96.8,52.40291086350975,good,99.7,2.1649650349650353,good,99.3,0.8981151079136691,good,96.5,1.6546713286713288,good,99.3,1.728097902097902,good,99.3,1.0204475524475525,good,99.3,2.3015760111576014,good,99.6,197.14538354253835,good,99.6,44.863849372384934,good,99.6,,insufficient,0.0,468.0177649769586,good,60.3,0.0033844011142061285,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,5,86.53196211096075,good,99.3,176.0919756427605,good,99.3,78.59364130434783,good,98.9,27.77211956521739,good,98.9,99.21379076086957,good,98.9,7.92464333781965,good,99.9,0.8130282637954238,good,99.9,69.94952445652174,good,98.9,29.093562753036434,good,99.6,3.6921002710027104,good,99.2,1.0852309782608696,good,98.9,2.5543283582089553,good,99.1,3.867245590230665,good,99.1,1.8020325203252034,good,99.2,2.4262718707940785,good,99.9,221.04590847913866,good,99.9,31.659932614555252,good,99.7,,insufficient,0.0,453.07435555555554,good,60.5,0.0017741935483870969,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,6,78.31312324929972,good,99.2,180.79414565826332,good,99.2,78.44068917018285,good,98.8,30.526160337552746,good,98.8,78.87068917018284,good,98.8,5.6884604519774005,good,98.3,0.7163558106169297,good,96.8,51.34763713080169,good,98.8,73.92502849002848,good,97.5,4.873963068181818,good,97.8,0.9492897727272727,good,97.8,3.4014534883720935,good,95.6,6.512340116279069,good,95.6,2.4880113636363634,good,97.8,2.599022346368715,good,99.4,175.24396648044694,good,99.4,46.514312056737595,good,97.9,,insufficient,0.0,447.8227171492205,good,62.4,0.0033750000000000004,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,7,61.408025210084034,good,96.0,111.78117647058825,good,96.0,116.61819327731095,good,96.0,12.645652797704448,good,93.7,99.04977591036413,good,96.0,6.397224546722455,good,96.4,0.7932083333333332,good,96.8,31.09964336661912,good,94.2,57.7976690647482,good,93.4,4.2565176151761515,good,99.2,0.7956775067750678,good,99.2,4.397383966244726,good,95.6,10.416371308016878,good,95.6,3.4364634146341464,good,99.2,1.8864993215739483,good,99.1,135.01953867028493,good,99.1,81.1767349726776,good,98.4,,insufficient,0.0,275.85488469601677,good,64.1,0.08794594594594594,good,99.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,8,44.63784552845528,good,99.2,87.98860622462787,good,99.3,109.82071718538565,good,99.3,15.600433017591339,good,99.3,95.45266216216217,good,99.5,7.572196765498652,good,99.7,0.8072983870967742,good,100.0,30.681808219178084,good,98.1,33.38078272604589,good,99.6,3.098005464480874,good,98.4,2.231825842696629,good,95.7,2.74068306010929,good,98.4,5.986243169398907,good,98.4,2.0757650273224044,good,98.4,1.775685483870968,good,100.0,145.34721774193548,good,100.0,83.92775537634408,good,100.0,,insufficient,0.0,279.6852034261242,good,62.8,0.12018817204301073,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,9,49.366423248882256,good,93.2,99.04503736920778,good,92.9,20.18506006006006,good,92.5,10.218873873873873,good,92.5,21.90426426426426,good,92.5,8.089226190476191,good,93.3,0.6587072808320951,good,93.5,37.3273197492163,good,88.6,47.72004451038576,good,93.6,4.780792227204784,good,92.9,4.802087087087088,good,92.5,4.29814371257485,good,92.8,6.911886227544909,good,92.8,3.507050898203593,good,92.8,1.7092548435171384,good,93.2,152.70906110283158,good,93.2,80.36527190332326,good,91.9,,insufficient,0.0,268.95609254498714,good,54.0,0.013130563798219587,good,93.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Yamuna Nagar,Haryana,Haryana,2019,10,123.97909090909091,good,97.6,222.87959944751378,good,97.3,62.46387448840382,good,98.5,35.383847203274215,good,98.5,68.17778990450205,good,98.5,10.936373626373625,good,97.8,1.1215405405405405,good,99.5,50.01757162346521,good,98.5,61.13325714285714,good,94.1,8.135094850948509,good,99.2,5.763879781420765,good,98.4,5.35469220246238,good,98.3,8.993337893296854,good,98.3,4.895813008130082,good,99.2,1.5598881118881118,good,96.1,206.95162237762239,good,96.1,71.3134741144414,good,98.7,,insufficient,0.0,316.33068421052633,good,51.1,0.0016172506738544475,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
